Date,Team1AWAY,Team1Pts,Team2HOME,Team2Pts,Team1RANK,Team1GP,Team1W,Team1L,Team1MIN,Team1OFFRTG,Team1DEFRTG,Team1NETRTG,Team1AST%,Team1AST/TO,Team1AST_RATIO,Team1OREB%,Team1DREB%,Team1REB%,Team1TOV%,Team1EFG%,Team1TS%,Team1PACE,Team1PIE,Team2RANK,Team2GP,Team2W,Team2L,Team2MIN,Team2OFFRTG,Team2DEFRTG,Team2NETRTG,Team2AST%,Team2AST/TO,Team2AST_RATIO,Team2OREB%,Team2DREB%,Team2REB%,Team2TOV%,Team2EFG%,Team2TS%,Team2PACE,Team2PIE
"Fri, Oct 19, 2018",Charlotte Hornets,120,Orlando Magic,88,10,8,4,4,384.0,114.9,109.1,5.8,58.2,2.09,17.7,27.3,71.9,49.2,11.7,53.4,57.2,100.44,52.5,21,7,2,5,336.0,99.4,109.6,-10.2,65.8,1.80,17.7,27.1,74.0,48.9,13.7,46.5,49.7,101.07,44.7
"Fri, Oct 19, 2018",New York Knicks,105,Brooklyn Nets,107,21,8,2,6,384.0,105.2,109.8,-4.6,49.4,1.39,14.3,30.6,74.7,51.0,13.9,49.1,52.7,100.56,45.0,18,8,3,5,389.0,108.0,111.4,-3.4,62.9,1.46,17.9,28.9,67.5,48.7,17.1,53.2,56.0,99.15,48.2
"Fri, Oct 19, 2018",Atlanta Hawks,117,Memphis Grizzlies,131,21,7,2,5,336.0,100.1,107.5,-7.4,62.6,1.32,17.0,21.1,71.5,46.4,17.2,51.6,54.6,108.50,45.5,10,6,4,2,288.0,104.9,101.5,3.4,65.7,1.73,17.6,23.9,73.5,47.9,13.8,50.0,54.8,98.67,51.6
"Fri, Oct 19, 2018",Cleveland Cavaliers,123,Minnesota Timberwolves,131,27,7,1,6,336.0,108.9,116.5,-7.6,51.2,1.42,15.1,32.3,74.2,51.7,14.6,49.6,54.3,101.07,44.7,10,8,4,4,384.0,111.4,114.2,-2.8,55.6,1.64,16.1,31.3,66.2,48.7,13.4,50.7,55.7,103.94,49.9
"Fri, Oct 19, 2018",Sacramento Kings,129,New Orleans Pelicans,149,5,8,5,3,384.0,109.1,108.7,0.4,53.0,1.56,16.9,23.3,71.0,47.9,14.4,55.3,57.2,107.06,50.4,10,7,4,3,336.0,114.3,113.3,1.0,59.6,1.88,18.2,29.6,73.4,51.3,13.5,54.4,57.9,106.71,50.3
"Fri, Oct 19, 2018",Boston Celtics,101,Toronto Raptors,113,5,7,5,2,336.0,100.8,96.2,4.6,61.7,1.66,16.7,24.9,75.8,50.6,13.6,47.9,51.7,101.50,53.2,2,8,7,1,384.0,114.5,106.7,7.8,58.1,1.85,18.1,28.4,68.3,49.5,13.5,54.5,57.8,102.31,55.9
"Fri, Oct 19, 2018",Indiana Pacers,101,Milwaukee Bucks,118,5,8,5,3,384.0,112.1,105.5,6.6,53.7,1.67,17.6,28.0,68.6,49.2,14.4,56.0,57.7,97.13,53.8,2,7,7,0,336.0,113.2,98.2,15.0,61.2,1.57,18.5,26.4,74.7,53.4,16.2,56.5,59.6,106.00,59.9
"Fri, Oct 19, 2018",Oklahoma City Thunder,92,Los Angeles Clippers,108,21,6,2,4,288.0,102.4,105.0,-2.7,50.6,1.30,14.0,32.9,71.8,50.8,14.8,47.2,50.7,106.08,47.4,10,7,4,3,336.0,110.5,105.5,5.1,53.0,1.32,15.7,26.2,70.8,50.5,15.7,53.1,58.4,104.57,53.7
"Fri, Oct 19, 2018",Golden State Warriors,124,Utah Jazz,123,1,9,8,1,432.0,120.3,107.5,12.9,65.7,2.00,20.9,26.6,71.8,51.1,14.8,59.9,63.1,104.00,58.5,10,7,4,3,336.0,111.0,106.4,4.6,59.5,1.47,17.0,28.0,76.4,52.6,15.7,54.0,58.5,102.86,53.8
"Sat, Oct 20, 2018",Brooklyn Nets,112,Indiana Pacers,132,18,8,3,5,389.0,108.0,111.4,-3.4,62.9,1.46,17.9,28.9,67.5,48.7,17.1,53.2,56.0,99.15,48.2,5,8,5,3,384.0,112.1,105.5,6.6,53.7,1.67,17.6,28.0,68.6,49.2,14.4,56.0,57.7,97.13,53.8
