Team1,Team1Score,Team2,Team2Score
Golden State Warriors,100,Indiana Pacers,109
New York Knicks,110,Orlando Magic,116
Dallas Mavericks,101,Philadelphia 76ers,93
New Orleans Hornets,90,Toronto Raptors,96
San Antonio Spurs,93,Memphis Grizzlies,109
Detroit Pistons,90,Milwaukee Bucks,92
Los Angeles Lakers,90,Minnesota Timberwolves,79
Houston Rockets,103,Portland Trail Blazers,87
Chicago Bulls,80,Atlanta Hawks,83
San Antonio Spurs,109,Cleveland Cavaliers,99
Golden State Warriors,106,Washington Wizards,102
Phoenix Suns,103,Boston Celtics,115
Minnesota Timberwolves,116,Detroit Pistons,105
New Orleans Hornets,88,New York Knicks,107
Indiana Pacers,89,Oklahoma City Thunder,113
Charlotte Bobcats,80,Denver Nuggets,120
Portland Trail Blazers,107,Sacramento Kings,102
Houston Rockets,103,Los Angeles Clippers,106
Orlando Magic,99,Miami Heat,96
Denver Nuggets,103,Utah Jazz,101
Toronto Raptors,103,New Jersey Nets,116
Chicago Bulls,89,Orlando Magic,81
Minnesota Timberwolves,100,Philadelphia 76ers,111
Oklahoma City Thunder,111,Atlanta Hawks,104
Golden State Warriors,103,Boston Celtics,107
Cleveland Cavaliers,119,New York Knicks,115
New Orleans Hornets,98,Memphis Grizzlies,91
Indiana Pacers,108,Dallas Mavericks,116
Phoenix Suns,102,Milwaukee Bucks,88
Miami Heat,95,San Antonio Spurs,125
Charlotte Bobcats,84,Los Angeles Lakers,92
Toronto Raptors,136,New Jersey Nets,137
Minnesota Timberwolves,96,Washington Wizards,103
Indiana Pacers,95,Houston Rockets,112
Sacramento Kings,102,Utah Jazz,109
Charlotte Bobcats,69,Portland Trail Blazers,93
Denver Nuggets,94,Los Angeles Clippers,100
Chicago Bulls,87,Miami Heat,86
Los Angeles Lakers,99,San Antonio Spurs,83
Washington Wizards,102,Detroit Pistons,113
Golden State Warriors,117,Philadelphia 76ers,125
New York Knicks,92,Atlanta Hawks,79
New Orleans Hornets,96,Cleveland Cavaliers,81
Phoenix Suns,118,Oklahoma City Thunder,122
Memphis Grizzlies,104,Dallas Mavericks,103
Boston Celtics,89,Milwaukee Bucks,83
Los Angeles Clippers,92,Charlotte Bobcats,87
Portland Trail Blazers,89,Orlando Magic,85
Utah Jazz,109,New York Knicks,131
New Orleans Hornets,77,Chicago Bulls,85
Oklahoma City Thunder,101,Memphis Grizzlies,107
Dallas Mavericks,108,Minnesota Timberwolves,105
Houston Rockets,123,Sacramento Kings,101
Los Angeles Lakers,101,Atlanta Hawks,87
Golden State Warriors,95,Cleveland Cavaliers,85
Philadelphia 76ers,110,Indiana Pacers,100
Milwaukee Bucks,95,Washington Wizards,76
Portland Trail Blazers,105,Miami Heat,96
Houston Rockets,110,Phoenix Suns,113
Chicago Bulls,101,Charlotte Bobcats,84
Golden State Warriors,90,New Jersey Nets,94
Oklahoma City Thunder,110,Philadelphia 76ers,105
Utah Jazz,96,Toronto Raptors,94
Los Angeles Clippers,108,Boston Celtics,103
New York Knicks,110,Memphis Grizzlies,108
Cleveland Cavaliers,90,Milwaukee Bucks,110
Indiana Pacers,75,Minnesota Timberwolves,101
Dallas Mavericks,92,New Orleans Hornets,93
Detroit Pistons,104,San Antonio Spurs,111
Orlando Magic,106,Sacramento Kings,102
Los Angeles Lakers,88,Miami Heat,94
New York Knicks,109,Dallas Mavericks,127
Denver Nuggets,116,Phoenix Suns,97
Portland Trail Blazers,92,Charlotte Bobcats,97
Los Angeles Clippers,98,New Jersey Nets,102
Boston Celtics,86,Philadelphia 76ers,89
Indiana Pacers,98,Toronto Raptors,108
Atlanta Hawks,76,Chicago Bulls,94
Utah Jazz,101,Minnesota Timberwolves,122
Detroit Pistons,94,Oklahoma City Thunder,104
Sacramento Kings,103,San Antonio Spurs,108
Orlando Magic,120,Golden State Warriors,123
Memphis Grizzlies,85,Miami Heat,118
Portland Trail Blazers,82,Atlanta Hawks,91
Los Angeles Clippers,122,Washington Wizards,101
Utah Jazz,100,Chicago Bulls,118
Philadelphia 76ers,74,Milwaukee Bucks,102
Sacramento Kings,103,New Orleans Hornets,115
San Antonio Spurs,115,Houston Rockets,107
Los Angeles Lakers,96,Dallas Mavericks,91
Detroit Pistons,101,Denver Nuggets,131
Oklahoma City Thunder,95,Cleveland Cavaliers,75
Charlotte Bobcats,95,Toronto Raptors,90
Orlando Magic,111,Phoenix Suns,88
Milwaukee Bucks,56,Boston Celtics,87
Indiana Pacers,106,New York Knicks,93
Minnesota Timberwolves,77,Golden State Warriors,100
Boston Celtics,79,New Jersey Nets,88
Oklahoma City Thunder,116,Washington Wizards,89
Los Angeles Clippers,82,Memphis Grizzlies,105
San Antonio Spurs,80,Miami Heat,110
Denver Nuggets,114,New Orleans Hornets,103
Phoenix Suns,93,Houston Rockets,95
Philadelphia 76ers,107,Utah Jazz,112
Golden State Warriors,119,Sacramento Kings,129
Orlando Magic,84,Los Angeles Lakers,97
Milwaukee Bucks,85,Atlanta Hawks,110
New York Knicks,117,Indiana Pacers,119
Washington Wizards,79,Chicago Bulls,98
Dallas Mavericks,101,Portland Trail Blazers,104
Denver Nuggets,102,Atlanta Hawks,87
Indiana Pacers,80,Boston Celtics,92
Toronto Raptors,93,Detroit Pistons,107
Oklahoma City Thunder,96,Miami Heat,85
Orlando Magic,93,Milwaukee Bucks,89
Phoenix Suns,95,New Orleans Hornets,100
Charlotte Bobcats,78,Houston Rockets,94
Minnesota Timberwolves,104,Utah Jazz,119
Cleveland Cavaliers,97,Sacramento Kings,93
Dallas Mavericks,112,Golden State Warriors,106
Philadelphia 76ers,104,Los Angeles Clippers,94
Chicago Bulls,84,New Jersey Nets,73
Memphis Grizzlies,99,New York Knicks,120
Cleveland Cavaliers,70,Portland Trail Blazers,111
Chicago Bulls,108,Indiana Pacers,115
Denver Nuggets,82,Orlando Magic,85
Washington Wizards,107,Toronto Raptors,116
Miami Heat,106,Atlanta Hawks,85
New York Knicks,95,Detroit Pistons,99
Charlotte Bobcats,82,Oklahoma City Thunder,99
San Antonio Spurs,97,Dallas Mavericks,91
Boston Celtics,77,Houston Rockets,93
New Jersey Nets,95,Milwaukee Bucks,110
Golden State Warriors,97,Phoenix Suns,108
Philadelphia 76ers,102,Sacramento Kings,80
Minnesota Timberwolves,98,Los Angeles Lakers,106
Cleveland Cavaliers,92,Los Angeles Clippers,100
Denver Nuggets,98,Miami Heat,103
Indiana Pacers,78,Memphis Grizzlies,99
Boston Celtics,89,New Orleans Hornets,85
Charlotte Bobcats,98,San Antonio Spurs,109
Philadelphia 76ers,101,Portland Trail Blazers,110
New Jersey Nets,92,Washington Wizards,98
Detroit Pistons,96,Atlanta Hawks,104
New York Knicks,95,Milwaukee Bucks,100
Phoenix Suns,108,Los Angeles Clippers,99
Sacramento Kings,127,Minnesota Timberwolves,95
Utah Jazz,108,Houston Rockets,110
Toronto Raptors,95,Oklahoma City Thunder,93
Golden State Warriors,73,Dallas Mavericks,101
Portland Trail Blazers,80,Los Angeles Lakers,84
Orlando Magic,97,Cleveland Cavaliers,86
