Team1,Team1Score,Team2,Team2Score
Cleveland Cavaliers,91,Chicago Bulls,100
New Orleans Hornets,92,Washington Wizards,81
Golden State Warriors,107,Miami Heat,114
New Jersey Nets,88,Minnesota Timberwolves,103
Oklahoma City Thunder,74,San Antonio Spurs,101
Sacramento Kings,86,Denver Nuggets,104
Dallas Mavericks,87,Milwaukee Bucks,99
Memphis Grizzlies,92,Utah Jazz,98
Indiana Pacers,92,New York Knicks,98
Atlanta Hawks,107,Los Angeles Clippers,98
Boston Celtics,93,Toronto Raptors,79
Dallas Mavericks,104,Cleveland Cavaliers,95
Houston Rockets,85,Portland Trail Blazers,100
Phoenix Suns,89,Sacramento Kings,94
Memphis Grizzlies,104,Los Angeles Lakers,85
Miami Heat,96,Charlotte Bobcats,82
Golden State Warriors,90,Orlando Magic,110
Minnesota Timberwolves,93,Boston Celtics,96
Philadelphia 76ers,77,New Orleans Hornets,84
Houston Rockets,106,Denver Nuggets,113
Detroit Pistons,97,Utah Jazz,102
Milwaukee Bucks,89,Miami Heat,101
San Antonio Spurs,115,New York Knicks,128
Toronto Raptors,91,Chicago Bulls,111
Oklahoma City Thunder,105,Memphis Grizzlies,110
Portland Trail Blazers,81,Dallas Mavericks,84
Atlanta Hawks,108,Sacramento Kings,102
Detroit Pistons,83,Los Angeles Lakers,108
Toronto Raptors,120,Cleveland Cavaliers,105
Chicago Bulls,94,New Jersey Nets,96
Milwaukee Bucks,87,Orlando Magic,97
Washington Wizards,97,Philadelphia 76ers,109
San Antonio Spurs,103,Boston Celtics,105
Charlotte Bobcats,108,Minnesota Timberwolves,105
Golden State Warriors,110,New Orleans Hornets,103
Portland Trail Blazers,103,Houston Rockets,100
Atlanta Hawks,110,Utah Jazz,87
Denver Nuggets,93,Los Angeles Clippers,106
Los Angeles Lakers,99,Phoenix Suns,95
Oklahoma City Thunder,99,Dallas Mavericks,95
Denver Nuggets,102,Sacramento Kings,122
San Antonio Spurs,90,Indiana Pacers,87
Chicago Bulls,99,Philadelphia 76ers,105
New Jersey Nets,77,Washington Wizards,97
Toronto Raptors,102,Boston Celtics,122
Utah Jazz,99,Memphis Grizzlies,110
Portland Trail Blazers,108,Minnesota Timberwolves,98
Houston Rockets,95,Orlando Magic,110
Miami Heat,101,Milwaukee Bucks,95
Cleveland Cavaliers,98,Golden State Warriors,116
New Orleans Hornets,97,Los Angeles Lakers,101
New York Knicks,121,Phoenix Suns,96
Indiana Pacers,93,Atlanta Hawks,108
Washington Wizards,89,Charlotte Bobcats,104
Milwaukee Bucks,115,New Jersey Nets,92
Philadelphia 76ers,109,Detroit Pistons,112
Boston Celtics,79,Chicago Bulls,90
Memphis Grizzlies,100,Oklahoma City Thunder,109
Orlando Magic,117,Dallas Mavericks,107
Utah Jazz,103,Houston Rockets,99
Sacramento Kings,112,Toronto Raptors,118
Golden State Warriors,91,Los Angeles Clippers,105
Minnesota Timberwolves,91,San Antonio Spurs,94
Cleveland Cavaliers,100,Phoenix Suns,108
New Orleans Hornets,96,Denver Nuggets,87
Miami Heat,107,Portland Trail Blazers,100
New York Knicks,87,Los Angeles Lakers,109
Memphis Grizzlies,82,Charlotte Bobcats,96
Houston Rockets,108,Boston Celtics,102
Detroit Pistons,82,Chicago Bulls,95
Indiana Pacers,111,Philadelphia 76ers,103
Sacramento Kings,133,Washington Wizards,136
San Antonio Spurs,107,Minnesota Timberwolves,96
Phoenix Suns,98,Denver Nuggets,132
New York Knicks,100,Portland Trail Blazers,86
Cleveland Cavaliers,57,Los Angeles Lakers,112
Chicago Bulls,91,Charlotte Bobcats,96
Dallas Mavericks,89,Indiana Pacers,102
Atlanta Hawks,104,Toronto Raptors,101
Sacramento Kings,95,Boston Celtics,119
Memphis Grizzlies,107,Detroit Pistons,99
San Antonio Spurs,91,Milwaukee Bucks,84
Orlando Magic,89,New Orleans Hornets,92
Oklahoma City Thunder,118,Houston Rockets,112
New Jersey Nets,109,Phoenix Suns,118
New York Knicks,125,Utah Jazz,131
Los Angeles Lakers,115,Golden State Warriors,110
Miami Heat,105,Los Angeles Clippers,111
Washington Wizards,97,Minnesota Timberwolves,109
Orlando Magic,124,Oklahoma City Thunder,125
Miami Heat,102,Denver Nuggets,130
Chicago Bulls,99,Indiana Pacers,86
Milwaukee Bucks,94,Philadelphia 76ers,95
Detroit Pistons,101,Toronto Raptors,95
Charlotte Bobcats,94,Boston Celtics,99
Sacramento Kings,93,New York Knicks,83
Dallas Mavericks,89,San Antonio Spurs,101
New Orleans Hornets,110,Houston Rockets,105
Cleveland Cavaliers,99,Utah Jazz,121
Los Angeles Clippers,112,Golden State Warriors,122
New Jersey Nets,88,Los Angeles Lakers,100
Portland Trail Blazers,111,Phoenix Suns,115
Houston Rockets,112,Atlanta Hawks,106
New Orleans Hornets,88,Charlotte Bobcats,81
Toronto Raptors,95,Washington Wizards,98
Sacramento Kings,106,Detroit Pistons,110
Miami Heat,96,Chicago Bulls,99
Dallas Mavericks,70,Memphis Grizzlies,89
Orlando Magic,108,Minnesota Timberwolves,99
