Team1,Team1Score,Team2,Team2Score
Detroit Pistons,102,Indiana Pacers,111
Miami Heat,105,Boston Celtics,110
Milwaukee Bucks,131,Brooklyn Nets,121
Chicago Bulls,105,New York Knicks,113
Orlando Magic,109,Toronto Raptors,121
Portland Trail Blazers,132,Minnesota Timberwolves,122
Philadelphia 76ers,102,Dallas Mavericks,122
Charlotte Hornets,102,Utah Jazz,111
Cleveland Cavaliers,113,Phoenix Suns,122
Los Angeles Lakers,103,Oklahoma City Thunder,119
Atlanta Hawks,111,San Antonio Spurs,117
Houston Rockets,130,Sacramento Kings,105
Denver Nuggets,102,Golden State Warriors,116
Indiana Pacers,108,Detroit Pistons,89
New York Knicks,100,Orlando Magic,114
Chicago Bulls,115,Washington Wizards,114
Philadelphia 76ers,122,Atlanta Hawks,130
Toronto Raptors,115,Brooklyn Nets,105
Boston Celtics,112,Miami Heat,102
Charlotte Hornets,115,New Orleans Pelicans,109
Minnesota Timberwolves,110,Dallas Mavericks,108
San Antonio Spurs,85,Denver Nuggets,113
Utah Jazz,118,Phoenix Suns,97
Memphis Grizzlies,89,Portland Trail Blazers,116
Houston Rockets,135,Los Angeles Clippers,103
Milwaukee Bucks,128,Philadelphia 76ers,122
Cleveland Cavaliers,104,Sacramento Kings,117
Golden State Warriors,108,Los Angeles Lakers,90
Toronto Raptors,111,Charlotte Hornets,113
Atlanta Hawks,113,Orlando Magic,149
San Antonio Spurs,129,Washington Wizards,112
New York Knicks,96,Houston Rockets,120
Boston Celtics,117,Indiana Pacers,97
Miami Heat,109,Minnesota Timberwolves,111
Detroit Pistons,110,Oklahoma City Thunder,123
Memphis Grizzlies,122,Dallas Mavericks,112
Sacramento Kings,98,Utah Jazz,119
New Orleans Pelicans,126,Phoenix Suns,133
Portland Trail Blazers,110,Denver Nuggets,119
Cleveland Cavaliers,114,Golden State Warriors,120
Los Angeles Lakers,122,Los Angeles Clippers,117
Brooklyn Nets,133,Milwaukee Bucks,128
Philadelphia 76ers,116,Chicago Bulls,96
Miami Heat,109,Toronto Raptors,117
San Antonio Spurs,112,Cleveland Cavaliers,90
Oklahoma City Thunder,132,Minnesota Timberwolves,126
Charlotte Hornets,104,Detroit Pistons,91
Brooklyn Nets,108,Indiana Pacers,96
Dallas Mavericks,129,Memphis Grizzlies,127
Phoenix Suns,113,Houston Rockets,149
Atlanta Hawks,107,Milwaukee Bucks,115
Orlando Magic,116,Boston Celtics,108
Washington Wizards,110,New York Knicks,113
Los Angeles Clippers,104,Golden State Warriors,131
Denver Nuggets,108,Portland Trail Blazers,115
New Orleans Pelicans,133,Sacramento Kings,129
Utah Jazz,109,Los Angeles Lakers,113
Charlotte Hornets,124,Cleveland Cavaliers,97
Memphis Grizzlies,93,Detroit Pistons,100
Boston Celtics,116,Washington Wizards,110
Philadelphia 76ers,99,Miami Heat,122
New York Knicks,96,Chicago Bulls,86
Toronto Raptors,120,Minnesota Timberwolves,100
Golden State Warriors,112,New Orleans Pelicans,103
Phoenix Suns,109,Dallas Mavericks,120
Denver Nuggets,108,Utah Jazz,118
Houston Rockets,111,Oklahoma City Thunder,112
Portland Trail Blazers,104,Los Angeles Lakers,101
Indiana Pacers,135,Atlanta Hawks,134
Miami Heat,94,Brooklyn Nets,113
Orlando Magic,122,Charlotte Hornets,114
Golden State Warriors,117,Memphis Grizzlies,132
Oklahoma City Thunder,127,Milwaukee Bucks,116
Detroit Pistons,115,New York Knicks,89
Chicago Bulls,109,Philadelphia 76ers,125
Dallas Mavericks,94,San Antonio Spurs,105
Minnesota Timberwolves,95,Denver Nuggets,99
Utah Jazz,137,Los Angeles Clippers,143
Sacramento Kings,131,Portland Trail Blazers,136
Brooklyn Nets,111,Philadelphia 76ers,102
Orlando Magic,104,Toronto Raptors,101
Los Angeles Clippers,104,Golden State Warriors,121
San Antonio Spurs,101,Denver Nuggets,96
Indiana Pacers,74,Boston Celtics,84
Oklahoma City Thunder,99,Portland Trail Blazers,104
Detroit Pistons,86,Milwaukee Bucks,121
Utah Jazz,90,Houston Rockets,122
Brooklyn Nets,123,Philadelphia 76ers,145
Los Angeles Clippers,135,Golden State Warriors,131
Orlando Magic,82,Toronto Raptors,111
San Antonio Spurs,105,Denver Nuggets,114
Oklahoma City Thunder,94,Portland Trail Blazers,114
Indiana Pacers,91,Boston Celtics,99
Detroit Pistons,99,Milwaukee Bucks,120
Utah Jazz,98,Houston Rockets,118
Philadelphia 76ers,131,Brooklyn Nets,115
Denver Nuggets,108,San Antonio Spurs,118
Golden State Warriors,132,Los Angeles Clippers,105
Toronto Raptors,98,Orlando Magic,93
Boston Celtics,104,Indiana Pacers,96
Portland Trail Blazers,108,Oklahoma City Thunder,120
Philadelphia 76ers,112,Brooklyn Nets,108
Denver Nuggets,117,San Antonio Spurs,103
Milwaukee Bucks,119,Detroit Pistons,103
Houston Rockets,104,Utah Jazz,101
Boston Celtics,110,Indiana Pacers,106
Golden State Warriors,113,Los Angeles Clippers,105
Toronto Raptors,107,Orlando Magic,85
Portland Trail Blazers,111,Oklahoma City Thunder,98
Milwaukee Bucks,127,Detroit Pistons,104
Houston Rockets,91,Utah Jazz,107
Orlando Magic,96,Toronto Raptors,115
Brooklyn Nets,100,Philadelphia 76ers,122
San Antonio Spurs,90,Denver Nuggets,108
Oklahoma City Thunder,115,Portland Trail Blazers,118
Utah Jazz,93,Houston Rockets,100
Los Angeles Clippers,129,Golden State Warriors,121
Denver Nuggets,103,San Antonio Spurs,120
Golden State Warriors,129,Los Angeles Clippers,110
Philadelphia 76ers,95,Toronto Raptors,108
San Antonio Spurs,86,Denver Nuggets,90
Boston Celtics,112,Milwaukee Bucks,90
Houston Rockets,100,Golden State Warriors,104
