Team1,Team1Score,Team2,Team2Score
Atlanta Hawks,100,Brooklyn Nets,116
Milwaukee Bucks,116,Houston Rockets,109
San Antonio Spurs,86,Memphis Grizzlies,96
Cleveland Cavaliers,124,New Orleans Pelicans,140
Phoenix Suns,94,Dallas Mavericks,104
Orlando Magic,93,Utah Jazz,106
Chicago Bulls,112,Portland Trail Blazers,124
Detroit Pistons,100,Los Angeles Lakers,113
Boston Celtics,99,Miami Heat,115
Los Angeles Clippers,100,Denver Nuggets,121
Oklahoma City Thunder,147,San Antonio Spurs,154
Detroit Pistons,102,Sacramento Kings,112
Atlanta Hawks,123,Philadelphia 76ers,121
Milwaukee Bucks,106,Washington Wizards,113
Indiana Pacers,121,New York Knicks,106
Brooklyn Nets,105,Toronto Raptors,122
Cleveland Cavaliers,113,Houston Rockets,141
Dallas Mavericks,119,Minnesota Timberwolves,115
Charlotte Hornets,96,Portland Trail Blazers,127
Los Angeles Lakers,95,Utah Jazz,113
Chicago Bulls,109,Golden State Warriors,146
Detroit Pistons,109,Los Angeles Clippers,104
Memphis Grizzlies,108,Miami Heat,112
Boston Celtics,103,Orlando Magic,105
New Orleans Pelicans,106,Minnesota Timberwolves,110
San Antonio Spurs,112,Oklahoma City Thunder,122
Denver Nuggets,93,Phoenix Suns,102
Charlotte Hornets,97,Sacramento Kings,104
Chicago Bulls,102,Utah Jazz,110
Philadelphia 76ers,108,New York Knicks,105
Toronto Raptors,140,Washington Wizards,138
Milwaukee Bucks,133,Atlanta Hawks,114
Houston Rockets,109,Orlando Magic,116
Golden State Warriors,119,Dallas Mavericks,114
Portland Trail Blazers,113,Denver Nuggets,116
Cleveland Cavaliers,101,Los Angeles Lakers,95
Boston Celtics,102,Brooklyn Nets,109
Memphis Grizzlies,94,Houston Rockets,112
Charlotte Hornets,108,San Antonio Spurs,93
Detroit Pistons,94,Utah Jazz,100
Portland Trail Blazers,107,Sacramento Kings,115
New Orleans Pelicans,121,Los Angeles Clippers,117
Phoenix Suns,97,Indiana Pacers,131
Minnesota Timberwolves,107,Philadelphia 76ers,149
Oklahoma City Thunder,126,Atlanta Hawks,142
Miami Heat,86,Milwaukee Bucks,124
Golden State Warriors,142,Denver Nuggets,111
Chicago Bulls,100,Los Angeles Lakers,107
Orlando Magic,115,Detroit Pistons,120
Toronto Raptors,108,Boston Celtics,117
Brooklyn Nets,145,Houston Rockets,142
Milwaukee Bucks,111,Memphis Grizzlies,101
San Antonio Spurs,105,Dallas Mavericks,101
Cleveland Cavaliers,112,Portland Trail Blazers,129
New Orleans Pelicans,140,Golden State Warriors,147
Utah Jazz,129,Los Angeles Clippers,109
New York Knicks,100,Washington Wizards,101
Sacramento Kings,95,Charlotte Hornets,114
Philadelphia 76ers,120,Indiana Pacers,96
Phoenix Suns,109,Toronto Raptors,111
Chicago Bulls,105,Denver Nuggets,135
Los Angeles Lakers,138,Oklahoma City Thunder,128
Memphis Grizzlies,116,Boston Celtics,122
Miami Heat,93,Detroit Pistons,98
Brooklyn Nets,117,Orlando Magic,115
San Antonio Spurs,116,Minnesota Timberwolves,113
Cleveland Cavaliers,99,Utah Jazz,115
Golden State Warriors,112,Los Angeles Clippers,94
New Orleans Pelicans,112,Portland Trail Blazers,128
Oklahoma City Thunder,117,Philadelphia 76ers,115
Phoenix Suns,115,Charlotte Hornets,135
Sacramento Kings,103,Detroit Pistons,101
Dallas Mavericks,99,Indiana Pacers,111
Milwaukee Bucks,118,Orlando Magic,108
Boston Celtics,113,Atlanta Hawks,105
Memphis Grizzlies,90,Toronto Raptors,119
