Team1,Team1Score,Team2,Team2Score
Milwaukee Bucks,134,New York Knicks,136
Golden State Warriors,102,Detroit Pistons,111
Brooklyn Nets,88,Washington Wizards,102
Toronto Raptors,106,Cleveland Cavaliers,95
Chicago Bulls,105,Houston Rockets,121
Boston Celtics,118,Minnesota Timberwolves,109
Indiana Pacers,110,Sacramento Kings,111
Phoenix Suns,96,Los Angeles Lakers,120
New Orleans Pelicans,119,Charlotte Hornets,109
Utah Jazz,100,Miami Heat,102
Memphis Grizzlies,95,Philadelphia 76ers,103
Los Angeles Clippers,110,Dallas Mavericks,114
Portland Trail Blazers,118,San Antonio Spurs,131
Oklahoma City Thunder,110,Detroit Pistons,83
Golden State Warriors,128,Atlanta Hawks,111
Cleveland Cavaliers,99,Brooklyn Nets,97
Washington Wizards,110,New York Knicks,107
Denver Nuggets,106,Toronto Raptors,103
Houston Rockets,91,Minnesota Timberwolves,103
Los Angeles Clippers,129,New Orleans Pelicans,126
Chicago Bulls,90,Indiana Pacers,96
Orlando Magic,105,Miami Heat,90
Portland Trail Blazers,102,Dallas Mavericks,111
Sacramento Kings,122,Phoenix Suns,105
San Antonio Spurs,105,Utah Jazz,139
Golden State Warriors,129,Cleveland Cavaliers,105
Denver Nuggets,124,Orlando Magic,118
Washington Wizards,131,Atlanta Hawks,117
Oklahoma City Thunder,114,Brooklyn Nets,112
Los Angeles Clippers,86,Memphis Grizzlies,96
Detroit Pistons,92,Milwaukee Bucks,115
Charlotte Hornets,104,Minnesota Timberwolves,121
Dallas Mavericks,106,New Orleans Pelicans,132
Philadelphia 76ers,102,Toronto Raptors,113
San Antonio Spurs,113,Los Angeles Lakers,121
New York Knicks,100,Boston Celtics,128
Phoenix Suns,86,Portland Trail Blazers,108
Houston Rockets,91,Utah Jazz,118
Denver Nuggets,107,Charlotte Hornets,113
Philadelphia 76ers,117,Detroit Pistons,111
Indiana Pacers,112,Orlando Magic,90
Toronto Raptors,105,Brooklyn Nets,106
Sacramento Kings,129,Cleveland Cavaliers,110
Oklahoma City Thunder,112,Chicago Bulls,114
Memphis Grizzlies,107,New Orleans Pelicans,103
Los Angeles Lakers,120,San Antonio Spurs,133
Miami Heat,115,Phoenix Suns,98
Golden State Warriors,105,Milwaukee Bucks,95
Houston Rockets,104,Dallas Mavericks,107
Sacramento Kings,97,Indiana Pacers,107
Denver Nuggets,98,Atlanta Hawks,106
Washington Wizards,101,Cleveland Cavaliers,116
