Team1,Team1Score,Team2,Team2Score
Orlando Magic,98,Miami Heat,112
Washington Wizards,122,Philadelphia 76ers,103
Indiana Pacers,102,Boston Celtics,97
Detroit Pistons,110,Houston Rockets,118
Brooklyn Nets,107,Milwaukee Bucks,98
Cleveland Cavaliers,96,Memphis Grizzlies,110
Denver Nuggets,96,Portland Trail Blazers,102
Minnesota Timberwolves,108,Sacramento Kings,97
New Orleans Pelicans,76,Los Angeles Clippers,108
New York Knicks,90,Chicago Bulls,109
Golden State Warriors,98,Toronto Raptors,104
Utah Jazz,91,Indiana Pacers,94
Philadelphia 76ers,81,Orlando Magic,92
Charlotte Bobcats,99,Oklahoma City Thunder,116
Dallas Mavericks,106,San Antonio Spurs,112
Atlanta Hawks,120,Phoenix Suns,129
Memphis Grizzlies,110,Washington Wizards,104
Chicago Bulls,80,Brooklyn Nets,96
New York Knicks,85,Detroit Pistons,96
Charlotte Bobcats,107,Miami Heat,124
Utah Jazz,88,Milwaukee Bucks,114
Minnesota Timberwolves,132,Denver Nuggets,128
Los Angeles Lakers,107,Portland Trail Blazers,106
New Orleans Pelicans,89,Sacramento Kings,96
San Antonio Spurs,122,Cleveland Cavaliers,101
Golden State Warriors,98,Indiana Pacers,96
Miami Heat,103,Houston Rockets,106
Philadelphia 76ers,92,Oklahoma City Thunder,125
Los Angeles Clippers,104,Phoenix Suns,96
New Orleans Pelicans,132,Los Angeles Lakers,125
Indiana Pacers,87,Charlotte Bobcats,109
Houston Rockets,101,Orlando Magic,89
Utah Jazz,91,Washington Wizards,104
Golden State Warriors,108,Boston Celtics,88
Memphis Grizzlies,94,Brooklyn Nets,103
Chicago Bulls,105,Detroit Pistons,94
Dallas Mavericks,110,Denver Nuggets,115
Sacramento Kings,116,Milwaukee Bucks,102
New York Knicks,118,Minnesota Timberwolves,106
Atlanta Hawks,78,Portland Trail Blazers,102
Miami Heat,87,San Antonio Spurs,111
Oklahoma City Thunder,122,Phoenix Suns,128
Los Angeles Clippers,142,Los Angeles Lakers,94
Cleveland Cavaliers,92,Charlotte Bobcats,101
Memphis Grizzlies,85,Chicago Bulls,77
Sacramento Kings,87,Toronto Raptors,99
Brooklyn Nets,84,Boston Celtics,91
Utah Jazz,81,New York Knicks,108
Detroit Pistons,101,Minnesota Timberwolves,114
Milwaukee Bucks,104,New Orleans Pelicans,112
Portland Trail Blazers,98,Dallas Mavericks,103
Los Angeles Lakers,126,Denver Nuggets,134
Indiana Pacers,86,Houston Rockets,112
Atlanta Hawks,97,Golden State Warriors,111
New York Knicks,107,Cleveland Cavaliers,97
Utah Jazz,104,Philadelphia 76ers,92
Charlotte Bobcats,89,Memphis Grizzlies,111
Orlando Magic,112,San Antonio Spurs,121
Washington Wizards,114,Milwaukee Bucks,107
Atlanta Hawks,108,Los Angeles Clippers,109
Miami Heat,88,Chicago Bulls,95
Oklahoma City Thunder,110,Los Angeles Lakers,114
Detroit Pistons,111,Boston Celtics,118
Sacramento Kings,89,Brooklyn Nets,104
Denver Nuggets,107,New Orleans Pelicans,111
Portland Trail Blazers,113,Houston Rockets,118
Toronto Raptors,111,Minnesota Timberwolves,104
Indiana Pacers,94,Dallas Mavericks,105
Phoenix Suns,107,Golden State Warriors,113
Denver Nuggets,98,Charlotte Bobcats,105
Toronto Raptors,97,Brooklyn Nets,101
Washington Wizards,90,Miami Heat,99
Philadelphia 76ers,110,New York Knicks,123
Orlando Magic,98,Milwaukee Bucks,105
Atlanta Hawks,112,Utah Jazz,110
Phoenix Suns,105,Los Angeles Clippers,112
Boston Celtics,83,Indiana Pacers,94
Sacramento Kings,89,Detroit Pistons,99
San Antonio Spurs,104,Chicago Bulls,96
Portland Trail Blazers,99,Memphis Grizzlies,109
Milwaukee Bucks,101,Minnesota Timberwolves,112
Houston Rockets,98,Oklahoma City Thunder,106
Dallas Mavericks,85,Golden State Warriors,108
Brooklyn Nets,96,Miami Heat,95
Denver Nuggets,120,Orlando Magic,112
Sacramento Kings,115,Philadelphia 76ers,98
Detroit Pistons,87,Toronto Raptors,101
Charlotte Bobcats,98,Washington Wizards,85
New York Knicks,116,Boston Celtics,92
Memphis Grizzlies,90,New Orleans Pelicans,88
Dallas Mavericks,108,Utah Jazz,101
Portland Trail Blazers,90,San Antonio Spurs,103
Cleveland Cavaliers,110,Phoenix Suns,101
Golden State Warriors,98,Los Angeles Clippers,111
Houston Rockets,87,Chicago Bulls,111
Milwaukee Bucks,97,Atlanta Hawks,102
Los Angeles Lakers,102,Oklahoma City Thunder,131
Minnesota Timberwolves,93,Charlotte Bobcats,105
Washington Wizards,105,Orlando Magic,101
Indiana Pacers,101,Philadelphia 76ers,94
Memphis Grizzlies,86,Toronto Raptors,99
Phoenix Suns,87,Boston Celtics,80
Denver Nuggets,111,Miami Heat,107
Portland Trail Blazers,111,New Orleans Pelicans,103
Los Angeles Lakers,85,San Antonio Spurs,119
Los Angeles Clippers,96,Utah Jazz,87
Cleveland Cavaliers,103,Golden State Warriors,94
Milwaukee Bucks,94,New York Knicks,115
Brooklyn Nets,94,Washington Wizards,101
Denver Nuggets,92,Atlanta Hawks,97
Indiana Pacers,112,Detroit Pistons,104
Memphis Grizzlies,103,Philadelphia 76ers,77
Sacramento Kings,87,Chicago Bulls,94
Charlotte Bobcats,101,Milwaukee Bucks,92
Phoenix Suns,121,Toronto Raptors,113
Houston Rockets,104,Miami Heat,113
Boston Celtics,120,New Orleans Pelicans,121
Sacramento Kings,102,Minnesota Timberwolves,104
Dallas Mavericks,109,Oklahoma City Thunder,86
Utah Jazz,104,San Antonio Spurs,122
Golden State Warriors,113,Portland Trail Blazers,112
Cleveland Cavaliers,80,Los Angeles Clippers,102
Atlanta Hawks,97,Charlotte Bobcats,83
Philadelphia 76ers,90,Indiana Pacers,99
Phoenix Suns,95,Brooklyn Nets,108
Oklahoma City Thunder,97,Chicago Bulls,85
Utah Jazz,86,Houston Rockets,124
Boston Celtics,89,Dallas Mavericks,94
Los Angeles Clippers,100,Denver Nuggets,110
Miami Heat,100,Cleveland Cavaliers,96
Toronto Raptors,113,Atlanta Hawks,118
Milwaukee Bucks,115,Portland Trail Blazers,120
Washington Wizards,111,Sacramento Kings,117
Orlando Magic,89,Golden State Warriors,103
Chicago Bulls,102,Philadelphia 76ers,94
Miami Heat,96,Boston Celtics,101
Charlotte Bobcats,99,Brooklyn Nets,104
Utah Jazz,86,Memphis Grizzlies,96
Toronto Raptors,107,New Orleans Pelicans,100
Indiana Pacers,86,New York Knicks,92
Minnesota Timberwolves,123,Dallas Mavericks,122
Detroit Pistons,109,Denver Nuggets,118
Orlando Magic,93,Phoenix Suns,109
San Antonio Spurs,125,Los Angeles Lakers,109
Oklahoma City Thunder,102,Cleveland Cavaliers,95
Minnesota Timberwolves,106,Houston Rockets,129
Washington Wizards,103,Portland Trail Blazers,116
Milwaukee Bucks,110,Golden State Warriors,115
Chicago Bulls,79,Indiana Pacers,91
New York Knicks,93,Philadelphia 76ers,92
Oklahoma City Thunder,119,Toronto Raptors,118
New Orleans Pelicans,111,Atlanta Hawks,105
Boston Celtics,98,Brooklyn Nets,114
Memphis Grizzlies,86,Miami Heat,91
Denver Nuggets,106,Dallas Mavericks,122
Detroit Pistons,92,Phoenix Suns,98
San Antonio Spurs,99,Sacramento Kings,79
Washington Wizards,117,Los Angeles Lakers,107
Portland Trail Blazers,94,Charlotte Bobcats,124
Houston Rockets,118,Cleveland Cavaliers,111
Philadelphia 76ers,81,Chicago Bulls,91
Indiana Pacers,71,Memphis Grizzlies,82
Miami Heat,95,New Orleans Pelicans,105
Orlando Magic,88,Utah Jazz,89
San Antonio Spurs,99,Golden State Warriors,90
Detroit Pistons,103,Los Angeles Clippers,112
Atlanta Hawks,86,Toronto Raptors,96
Phoenix Suns,127,Minnesota Timberwolves,120
Washington Wizards,102,Denver Nuggets,105
Milwaukee Bucks,107,Sacramento Kings,124
Brooklyn Nets,107,Dallas Mavericks,104
Cleveland Cavaliers,106,New York Knicks,100
Orlando Magic,94,Los Angeles Lakers,103
Houston Rockets,100,Charlotte Bobcats,89
Phoenix Suns,102,Atlanta Hawks,95
Portland Trail Blazers,91,Miami Heat,93
Indiana Pacers,77,Chicago Bulls,89
Minnesota Timberwolves,92,Memphis Grizzlies,109
Brooklyn Nets,104,New Orleans Pelicans,109
Denver Nuggets,96,Oklahoma City Thunder,117
Philadelphia 76ers,91,San Antonio Spurs,113
Detroit Pistons,114,Utah Jazz,94
Milwaukee Bucks,98,Los Angeles Clippers,106
Toronto Raptors,100,Cleveland Cavaliers,102
Portland Trail Blazers,85,Orlando Magic,95
Oklahoma City Thunder,119,Dallas Mavericks,128
New York Knicks,96,Los Angeles Lakers,127
Brooklyn Nets,111,Charlotte Bobcats,116
Phoenix Suns,99,Washington Wizards,93
Toronto Raptors,99,Boston Celtics,90
Cleveland Cavaliers,97,Detroit Pistons,96
Miami Heat,83,Indiana Pacers,84
Atlanta Hawks,83,Minnesota Timberwolves,107
Los Angeles Clippers,96,New Orleans Pelicans,98
Denver Nuggets,103,San Antonio Spurs,108
New York Knicks,107,Sacramento Kings,99
Memphis Grizzlies,91,Utah Jazz,87
Portland Trail Blazers,100,Atlanta Hawks,85
Philadelphia 76ers,98,Houston Rockets,120
Los Angeles Lakers,105,Milwaukee Bucks,108
Los Angeles Clippers,109,Dallas Mavericks,103
Charlotte Bobcats,105,Orlando Magic,110
Boston Celtics,103,Toronto Raptors,105
Indiana Pacers,78,Washington Wizards,91
Cleveland Cavaliers,97,Brooklyn Nets,108
Miami Heat,110,Detroit Pistons,78
Portland Trail Blazers,91,Chicago Bulls,74
Los Angeles Lakers,107,Minnesota Timberwolves,143
Utah Jazz,95,New Orleans Pelicans,102
Sacramento Kings,81,Oklahoma City Thunder,94
San Antonio Spurs,133,Denver Nuggets,102
New York Knicks,88,Phoenix Suns,112
Memphis Grizzlies,93,Golden State Warriors,100
Detroit Pistons,98,Philadelphia 76ers,123
Los Angeles Clippers,118,Houston Rockets,107
Atlanta Hawks,97,Washington Wizards,101
Sacramento Kings,100,Dallas Mavericks,103
Miami Heat,88,Milwaukee Bucks,67
New Orleans Pelicans,80,San Antonio Spurs,96
Indiana Pacers,76,Cleveland Cavaliers,90
