Team1,Team1Score,Team2,Team2Score
Brooklyn Nets,96,Indiana Pacers,97
Oklahoma City Thunder,81,Washington Wizards,96
Minnesota Timberwolves,113,Atlanta Hawks,120
Philadelphia 76ers,96,Detroit Pistons,113
Cleveland Cavaliers,92,Houston Rockets,106
Milwaukee Bucks,90,Memphis Grizzlies,99
Chicago Bulls,79,New Orleans Pelicans,88
Miami Heat,106,New York Knicks,91
Sacramento Kings,93,San Antonio Spurs,95
Charlotte Bobcats,95,Phoenix Suns,105
Toronto Raptors,103,Portland Trail Blazers,106
Utah Jazz,87,Los Angeles Clippers,102
Orlando Magic,89,Boston Celtics,96
Orlando Magic,79,Indiana Pacers,98
Portland Trail Blazers,90,Washington Wizards,100
Philadelphia 76ers,102,Brooklyn Nets,108
Detroit Pistons,96,Miami Heat,102
New York Knicks,98,Milwaukee Bucks,101
San Antonio Spurs,102,New Orleans Pelicans,95
Memphis Grizzlies,77,Oklahoma City Thunder,86
Cleveland Cavaliers,107,Dallas Mavericks,124
Los Angeles Clippers,115,Denver Nuggets,116
Toronto Raptors,94,Utah Jazz,79
Chicago Bulls,70,Sacramento Kings,99
Indiana Pacers,89,Atlanta Hawks,85
Los Angeles Lakers,99,Minnesota Timberwolves,109
Chicago Bulls,101,Phoenix Suns,92
Charlotte Bobcats,91,Golden State Warriors,75
Los Angeles Lakers,119,Cleveland Cavaliers,108
Detroit Pistons,98,Orlando Magic,112
Boston Celtics,114,Philadelphia 76ers,108
San Antonio Spurs,125,Washington Wizards,118
Phoenix Suns,108,Houston Rockets,122
Dallas Mavericks,110,Memphis Grizzlies,96
Atlanta Hawks,100,New Orleans Pelicans,105
Portland Trail Blazers,94,New York Knicks,90
Minnesota Timberwolves,97,Oklahoma City Thunder,106
Milwaukee Bucks,100,Denver Nuggets,110
Toronto Raptors,101,Sacramento Kings,109
Miami Heat,116,Los Angeles Clippers,112
San Antonio Spurs,89,Brooklyn Nets,103
Chicago Bulls,87,Golden State Warriors,102
Portland Trail Blazers,113,Indiana Pacers,118
Oklahoma City Thunder,102,Orlando Magic,103
Los Angeles Lakers,112,Philadelphia 76ers,98
