Team1,Team1Score,Team2,Team2Score
Orlando Magic,91,Washington Wizards,103
Dallas Mavericks,82,Miami Heat,106
Charlotte Hornets,94,Toronto Raptors,104
New York Knicks,81,Chicago Bulls,108
Philadelphia 76ers,84,Los Angeles Lakers,93
Brooklyn Nets,100,Boston Celtics,97
Phoenix Suns,119,Sacramento Kings,142
Oklahoma City Thunder,109,Charlotte Hornets,90
Detroit Pistons,82,Indiana Pacers,94
Orlando Magic,79,Cleveland Cavaliers,104
Milwaukee Bucks,95,Minnesota Timberwolves,85
New Orleans Pelicans,105,Dallas Mavericks,98
Houston Rockets,103,San Antonio Spurs,121
Memphis Grizzlies,87,Utah Jazz,92
Denver Nuggets,108,Golden State Warriors,111
Philadelphia 76ers,99,Los Angeles Clippers,130
Atlanta Hawks,97,New York Knicks,111
Chicago Bulls,115,Toronto Raptors,113
Miami Heat,97,Washington Wizards,75
Portland Trail Blazers,112,Denver Nuggets,106
Phoenix Suns,77,Los Angeles Lakers,97
Toronto Raptors,100,Cleveland Cavaliers,122
Minnesota Timberwolves,99,Philadelphia 76ers,109
Boston Celtics,103,Brooklyn Nets,94
Orlando Magic,89,Detroit Pistons,115
Indiana Pacers,100,Miami Heat,103
San Antonio Spurs,123,Milwaukee Bucks,98
Sacramento Kings,116,Oklahoma City Thunder,104
Houston Rockets,93,Utah Jazz,91
Memphis Grizzlies,91,Portland Trail Blazers,78
Charlotte Hornets,101,Golden State Warriors,111
New York Knicks,107,Atlanta Hawks,101
Milwaukee Bucks,106,Chicago Bulls,117
Sacramento Kings,116,Dallas Mavericks,117
Golden State Warriors,109,Los Angeles Lakers,88
New York Knicks,98,Miami Heat,90
Indiana Pacers,95,Orlando Magic,86
Cleveland Cavaliers,121,Washington Wizards,115
Detroit Pistons,99,Boston Celtics,94
Toronto Raptors,91,Brooklyn Nets,74
Denver Nuggets,78,Minnesota Timberwolves,74
Dallas Mavericks,100,New Orleans Pelicans,91
Utah Jazz,98,San Antonio Spurs,123
Charlotte Hornets,102,Phoenix Suns,111
Memphis Grizzlies,94,Oklahoma City Thunder,112
Los Angeles Clippers,109,Portland Trail Blazers,98
Atlanta Hawks,126,Philadelphia 76ers,98
Boston Celtics,92,Chicago Bulls,101
Utah Jazz,94,Houston Rockets,103
Los Angeles Lakers,115,Sacramento Kings,118
Toronto Raptors,97,Washington Wizards,88
Orlando Magic,83,Brooklyn Nets,77
Denver Nuggets,84,Memphis Grizzlies,91
Dallas Mavericks,95,Milwaukee Bucks,96
Cleveland Cavaliers,125,Minnesota Timberwolves,99
Indiana Pacers,91,New Orleans Pelicans,86
New York Knicks,99,San Antonio Spurs,100
Miami Heat,103,Phoenix Suns,95
Golden State Warriors,128,Portland Trail Blazers,108
Oklahoma City Thunder,117,Los Angeles Lakers,113
Charlotte Hornets,83,Los Angeles Clippers,97
Chicago Bulls,105,Atlanta Hawks,120
