Team1,Team1Score,Team2,Team2Score
Cleveland Cavaliers,95,Chicago Bulls,97
Detroit Pistons,106,Atlanta Hawks,94
New Orleans Pelicans,95,Golden State Warriors,111
Washington Wizards,88,Orlando Magic,87
Philadelphia 76ers,95,Boston Celtics,112
Chicago Bulls,115,Brooklyn Nets,100
Utah Jazz,87,Detroit Pistons,92
Indiana Pacers,99,Toronto Raptors,106
Charlotte Hornets,94,Miami Heat,104
New York Knicks,122,Milwaukee Bucks,97
San Antonio Spurs,106,Oklahoma City Thunder,112
Cleveland Cavaliers,106,Memphis Grizzlies,76
Denver Nuggets,105,Houston Rockets,85
Dallas Mavericks,111,Phoenix Suns,95
New Orleans Pelicans,94,Portland Trail Blazers,112
Los Angeles Clippers,111,Sacramento Kings,104
Minnesota Timberwolves,112,Los Angeles Lakers,111
Memphis Grizzlies,112,Indiana Pacers,103
Atlanta Hawks,112,New York Knicks,101
Dallas Mavericks,88,Los Angeles Clippers,104
Miami Heat,92,Cleveland Cavaliers,102
Utah Jazz,99,Philadelphia 76ers,71
Oklahoma City Thunder,139,Orlando Magic,136
Toronto Raptors,113,Boston Celtics,103
Chicago Bulls,94,Detroit Pistons,98
Charlotte Hornets,94,Atlanta Hawks,97
Washington Wizards,118,Milwaukee Bucks,113
Brooklyn Nets,75,San Antonio Spurs,102
Minnesota Timberwolves,95,Denver Nuggets,78
Golden State Warriors,112,Houston Rockets,92
Los Angeles Lakers,114,Sacramento Kings,132
Portland Trail Blazers,92,Phoenix Suns,110
Utah Jazz,97,Indiana Pacers,76
New York Knicks,117,Washington Wizards,110
Golden State Warriors,134,New Orleans Pelicans,120
Brooklyn Nets,91,Memphis Grizzlies,101
Phoenix Suns,101,Portland Trail Blazers,90
Sacramento Kings,109,Los Angeles Clippers,114
