Team1,Team1Score,Team2,Team2Score
Philadelphia 76ers,91,Charlotte Hornets,100
Dallas Mavericks,98,Detroit Pistons,89
Brooklyn Nets,91,New York Knicks,105
Cleveland Cavaliers,110,Atlanta Hawks,108
Toronto Raptors,99,Memphis Grizzlies,95
Orlando Magic,110,Milwaukee Bucks,113
Minnesota Timberwolves,85,Utah Jazz,98
Miami Heat,112,Sacramento Kings,106
Boston Celtics,109,Golden State Warriors,106
Washington Wizards,106,Phoenix Suns,99
Indiana Pacers,115,Philadelphia 76ers,102
Detroit Pistons,94,Chicago Bulls,90
Toronto Raptors,95,San Antonio Spurs,102
Sacramento Kings,115,Denver Nuggets,106
Miami Heat,93,Portland Trail Blazers,110
New Orleans Pelicans,106,Brooklyn Nets,87
Charlotte Hornets,103,Cleveland Cavaliers,112
Oklahoma City Thunder,110,Houston Rockets,118
Washington Wizards,109,Los Angeles Clippers,114
Dallas Mavericks,88,Minnesota Timberwolves,78
Memphis Grizzlies,107,Orlando Magic,119
Utah Jazz,101,Phoenix Suns,86
Chicago Bulls,102,Milwaukee Bucks,98
Indiana Pacers,92,New York Knicks,87
Portland Trail Blazers,111,Golden State Warriors,136
Boston Celtics,107,Los Angeles Lakers,100
New Orleans Pelicans,93,Philadelphia 76ers,107
Charlotte Hornets,90,Toronto Raptors,96
Phoenix Suns,90,Atlanta Hawks,103
Chicago Bulls,92,Memphis Grizzlies,108
Detroit Pistons,89,Miami Heat,107
Cleveland Cavaliers,109,Milwaukee Bucks,80
Oklahoma City Thunder,124,Denver Nuggets,102
San Antonio Spurs,88,Utah Jazz,86
Portland Trail Blazers,115,Sacramento Kings,107
Minnesota Timberwolves,124,Golden State Warriors,117
Los Angeles Lakers,81,Los Angeles Clippers,103
Cleveland Cavaliers,109,Indiana Pacers,123
Detroit Pistons,108,Orlando Magic,104
Brooklyn Nets,103,Washington Wizards,121
New Orleans Pelicans,97,Boston Celtics,104
Charlotte Hornets,111,New York Knicks,97
Houston Rockets,86,Dallas Mavericks,88
Oklahoma City Thunder,115,Portland Trail Blazers,120
Los Angeles Clippers,91,Los Angeles Lakers,81
Toronto Raptors,87,Atlanta Hawks,95
Phoenix Suns,124,Houston Rockets,115
Chicago Bulls,98,Miami Heat,106
Minnesota Timberwolves,105,Sacramento Kings,97
San Antonio Spurs,101,Golden State Warriors,112
Brooklyn Nets,99,Charlotte Hornets,113
Miami Heat,109,Orlando Magic,112
New York Knicks,109,Philadelphia 76ers,102
Milwaukee Bucks,109,Boston Celtics,124
Washington Wizards,99,Detroit Pistons,112
Indiana Pacers,98,Toronto Raptors,111
Los Angeles Lakers,102,New Orleans Pelicans,110
Memphis Grizzlies,93,Dallas Mavericks,103
San Antonio Spurs,98,Denver Nuggets,102
Los Angeles Clippers,102,Utah Jazz,99
Phoenix Suns,121,New Orleans Pelicans,100
Boston Celtics,107,Atlanta Hawks,118
Golden State Warriors,100,Memphis Grizzlies,99
Cleveland Cavaliers,102,Chicago Bulls,105
Minnesota Timberwolves,106,Portland Trail Blazers,105
Oklahoma City Thunder,112,Sacramento Kings,114
