Team1,Team1Score,Team2,Team2Score
Atlanta Hawks,94,Charlotte Hornets,92
San Antonio Spurs,95,Boston Celtics,87
Houston Rockets,89,Miami Heat,109
Milwaukee Bucks,87,Toronto Raptors,106
Orlando Magic,87,Chicago Bulls,92
Denver Nuggets,93,Oklahoma City Thunder,117
Dallas Mavericks,103,Los Angeles Lakers,93
Cleveland Cavaliers,107,Philadelphia 76ers,100
Milwaukee Bucks,103,Brooklyn Nets,96
San Antonio Spurs,94,New York Knicks,84
Oklahoma City Thunder,105,Houston Rockets,110
Portland Trail Blazers,106,Minnesota Timberwolves,101
Memphis Grizzlies,69,Golden State Warriors,119
Phoenix Suns,96,Los Angeles Clippers,102
Chicago Bulls,105,Charlotte Hornets,130
Indiana Pacers,94,Detroit Pistons,82
Atlanta Hawks,98,Miami Heat,92
Orlando Magic,103,New Orleans Pelicans,94
Toronto Raptors,102,Dallas Mavericks,91
Memphis Grizzlies,103,Sacramento Kings,89
Denver Nuggets,120,Los Angeles Lakers,109
Boston Celtics,98,Indiana Pacers,100
San Antonio Spurs,99,Washington Wizards,102
Brooklyn Nets,87,Atlanta Hawks,101
New York Knicks,86,Cleveland Cavaliers,96
Orlando Magic,114,Houston Rockets,119
Philadelphia 76ers,87,Milwaukee Bucks,91
Toronto Raptors,103,Oklahoma City Thunder,98
Sacramento Kings,97,Phoenix Suns,118
Portland Trail Blazers,108,Utah Jazz,92
Los Angeles Clippers,108,Golden State Warriors,112
Oklahoma City Thunder,98,Chicago Bulls,104
Miami Heat,96,Minnesota Timberwolves,84
Charlotte Hornets,108,Dallas Mavericks,94
Utah Jazz,96,Denver Nuggets,84
Memphis Grizzlies,96,Portland Trail Blazers,115
Toronto Raptors,87,Orlando Magic,92
Washington Wizards,98,Boston Celtics,118
Los Angeles Lakers,104,Brooklyn Nets,98
Philadelphia 76ers,102,Cleveland Cavaliers,108
Milwaukee Bucks,99,New York Knicks,92
Miami Heat,87,Indiana Pacers,90
Atlanta Hawks,121,New Orleans Pelicans,115
Detroit Pistons,100,Phoenix Suns,92
Denver Nuggets,104,Golden State Warriors,119
Houston Rockets,116,Sacramento Kings,110
Minnesota Timberwolves,102,Chicago Bulls,93
Orlando Magic,105,Philadelphia 76ers,97
Washington Wizards,99,Atlanta Hawks,114
New Orleans Pelicans,98,Dallas Mavericks,107
Brooklyn Nets,86,Milwaukee Bucks,94
Charlotte Hornets,94,San Antonio Spurs,114
Memphis Grizzlies,79,Utah Jazz,89
Golden State Warriors,103,Sacramento Kings,94
Houston Rockets,109,Los Angeles Clippers,105
Indiana Pacers,97,Cleveland Cavaliers,101
Los Angeles Lakers,95,New York Knicks,99
Toronto Raptors,76,Miami Heat,96
Phoenix Suns,103,Oklahoma City Thunder,124
Detroit Pistons,120,Portland Trail Blazers,103
Orlando Magic,84,Indiana Pacers,97
Chicago Bulls,111,Philadelphia 76ers,88
Minnesota Timberwolves,117,Atlanta Hawks,107
Portland Trail Blazers,104,Denver Nuggets,108
San Antonio Spurs,106,Sacramento Kings,88
Detroit Pistons,95,Golden State Warriors,109
Memphis Grizzlies,92,Los Angeles Clippers,94
Utah Jazz,114,Cleveland Cavaliers,118
Oklahoma City Thunder,125,Washington Wizards,101
Los Angeles Lakers,88,Miami Heat,101
New York Knicks,111,Toronto Raptors,109
Boston Celtics,99,Milwaukee Bucks,83
Charlotte Hornets,104,Minnesota Timberwolves,95
Dallas Mavericks,105,New Orleans Pelicans,120
New York Knicks,93,Charlotte Hornets,95
Los Angeles Lakers,99,Orlando Magic,101
