Team1,Team1Score,Team2,Team2Score
Atlanta Hawks,122,Washington Wizards,101
Toronto Raptors,79,Boston Celtics,91
Orlando Magic,102,Detroit Pistons,118
New York Knicks,115,Chicago Bulls,107
Utah Jazz,89,Houston Rockets,87
Sacramento Kings,104,Minnesota Timberwolves,113
Miami Heat,88,San Antonio Spurs,112
Philadelphia 76ers,103,Denver Nuggets,104
Los Angeles Lakers,107,Phoenix Suns,119
Dallas Mavericks,103,Portland Trail Blazers,109
Los Angeles Clippers,98,Golden State Warriors,114
New Orleans Pelicans,84,Indiana Pacers,92
Cleveland Cavaliers,95,Brooklyn Nets,104
Chicago Bulls,94,New York Knicks,106
Utah Jazz,91,Oklahoma City Thunder,113
Portland Trail Blazers,94,Los Angeles Clippers,96
Minnesota Timberwolves,132,Washington Wizards,129
Charlotte Hornets,105,Detroit Pistons,112
Milwaukee Bucks,90,Atlanta Hawks,101
Toronto Raptors,109,Houston Rockets,112
Orlando Magic,97,Miami Heat,108
Memphis Grizzlies,104,San Antonio Spurs,110
Phoenix Suns,94,Sacramento Kings,116
Dallas Mavericks,120,Golden State Warriors,128
Denver Nuggets,116,Los Angeles Lakers,105
Indiana Pacers,110,Brooklyn Nets,120
Toronto Raptors,115,New Orleans Pelicans,91
Chicago Bulls,89,Orlando Magic,111
Atlanta Hawks,112,Detroit Pistons,95
Cleveland Cavaliers,107,New York Knicks,93
Utah Jazz,93,Minnesota Timberwolves,84
San Antonio Spurs,92,Oklahoma City Thunder,111
Charlotte Hornets,115,Milwaukee Bucks,91
Boston Celtics,102,Phoenix Suns,99
Philadelphia 76ers,105,Portland Trail Blazers,108
Denver Nuggets,90,Los Angeles Clippers,105
Houston Rockets,101,Indiana Pacers,104
Dallas Mavericks,111,Sacramento Kings,133
Philadelphia 76ers,105,Golden State Warriors,117
Washington Wizards,101,Los Angeles Lakers,88
Brooklyn Nets,99,Miami Heat,110
Oklahoma City Thunder,119,Toronto Raptors,100
Atlanta Hawks,102,Chicago Bulls,100
San Antonio Spurs,101,Memphis Grizzlies,87
Phoenix Suns,116,Minnesota Timberwolves,121
New York Knicks,91,New Orleans Pelicans,99
Dallas Mavericks,97,Denver Nuggets,88
Los Angeles Lakers,75,Utah Jazz,123
Sacramento Kings,93,Portland Trail Blazers,105
Boston Celtics,90,Los Angeles Clippers,114
Chicago Bulls,98,Indiana Pacers,96
Brooklyn Nets,105,Orlando Magic,139
Charlotte Hornets,100,Philadelphia 76ers,85
Oklahoma City Thunder,82,Detroit Pistons,88
Houston Rockets,106,Cleveland Cavaliers,100
Washington Wizards,94,Golden State Warriors,102
