TEAM_ABBREVIATION,GAME_ID,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
BOS,0021800019,BOS @ TOR,L,240,101,40,99,0.404,14,36.0,0.389,7,10,0.7,16.0,33.0,49.0,29,4.0,6,14,27,-12.0
BOS,0021800001,BOS vs. PHI,W,240,105,42,97,0.433,11,37.0,0.297,10,14,0.714,12.0,43.0,55.0,21,7.0,5,14,20,18.0
BOS,1521800078,BOS @ POR,L,200,80,29,73,0.397,11,29.0,0.379,11,12,0.917,9.0,22.0,31.0,19,5.0,3,12,19,-9.8
BOS,1521800073,BOS vs. MIA,W,199,74,29,74,0.392,4,21.0,0.19,12,22,0.545,15.0,27.0,42.0,15,8.0,5,9,18,3.6
BOS,1521800055,BOS vs. NYK,W,201,82,32,75,0.427,6,25.0,0.24,12,16,0.75,14.0,27.0,41.0,17,7.0,6,7,19,12.0
BOS,1521800035,BOS vs. CHA,W,200,100,38,72,0.528,9,18.0,0.5,15,17,0.882,9.0,33.0,42.0,18,6.0,5,16,21,18.6
BOS,1521800019,BOS @ DEN,L,200,69,26,63,0.413,4,18.0,0.222,13,17,0.765,2.0,29.0,31.0,14,11.0,4,16,17,-7.8
BOS,1521800006,BOS @ PHI,W,200,95,36,74,0.486,8,23.0,0.348,15,20,0.75,11.0,31.0,42.0,18,4.0,3,10,18,12.6
CLE,0021801209,CLE vs. CHA,L,240,97,40,89,0.449,11,30.0,0.367,6,8,0.75,14.0,27.0,41.0,24,3.0,2,14,18,-27.0
CLE,0021801196,CLE vs. SAS,L,240,90,31,79,0.392,8,29.0,0.276,20,27,0.741,10.0,25.0,35.0,16,14.0,1,17,16,-22.0
CLE,0021801191,CLE @ GSW,L,240,114,43,97,0.443,7,30.0,0.233,21,23,0.913,12.0,36.0,48.0,21,9.0,1,5,11,-6.0
CLE,0021801178,CLE @ SAC,L,240,104,44,81,0.543,11,25.0,0.44,5,9,0.556,10.0,40.0,50.0,20,3.0,1,20,13,-13.0
CLE,0021801160,CLE @ PHX,L,241,113,45,99,0.455,8,22.0,0.364,15,22,0.682,18.0,30.0,48.0,17,5.0,3,9,24,-9.0
CLE,0021801136,CLE @ LAC,L,240,108,41,92,0.446,3,23.0,0.13,23,28,0.821,14.0,22.0,36.0,18,11.0,0,11,16,-24.0
CLE,0021801129,CLE @ SAS,L,241,110,45,92,0.489,12,29.0,0.414,8,10,0.8,14.0,35.0,49.0,18,6.0,1,14,20,-6.0
CLE,0021801108,CLE vs. BOS,L,240,106,39,80,0.488,9,28.0,0.321,19,25,0.76,3.0,33.0,36.0,24,4.0,1,14,21,-10.0
CLE,0021801096,CLE @ MIL,L,241,105,41,96,0.427,11,41.0,0.268,12,17,0.706,12.0,33.0,45.0,23,6.0,1,12,21,-22.0
