Team1W,Team1L,Team1MIN,Team1OFFRTG,Team1DEFRTG,Team1AST/TO,Team1AST_RATIO,Team1OREB%,Team1DREB%,Team1REB%,Team1TS%,Team1PACE,Team1PIE,Team2W,Team2L,Team2MIN,Team2OFFRTG,Team2DEFRTG,Team2AST/TO,Team2AST_RATIO,Team2OREB%,Team2DREB%,Team2REB%,Team2TS%,Team2PACE,Team2PIE,HomeWin
4,4,389.0,106.3,107.5,1.83,18.4,27.3,73.9,51.1,54.1,104.39,51.1,7,1,384.0,114.5,106.7,1.85,18.1,28.4,68.3,49.5,57.8,102.31,55.9,1
5,2,341.0,113.9,106.4,1.32,14.7,29.6,73.1,53.2,58.4,101.14,54.6,1,5,288.0,103.9,113.5,1.5,15.2,27.4,69.9,46.4,51.6,102.17,41.0,0
1,6,341.0,104.4,114.3,1.45,15.2,21.1,65.6,43.3,54.7,105.57,43.8,4,2,288.0,104.9,101.5,1.73,17.6,23.9,73.5,47.9,54.8,98.67,51.6,1
4,3,336.0,110.5,105.5,1.32,15.7,26.2,70.8,50.5,58.4,104.57,53.7,2,4,288.0,102.4,105.0,1.3,14.0,32.9,71.8,50.8,50.7,106.08,47.4,1
4,3,346.0,107.6,108.7,1.34,13.8,31.0,75.5,52.3,53.1,100.37,46.2,3,5,389.0,108.0,111.4,1.46,17.9,28.9,67.5,48.7,56.0,99.15,48.2,1
6,1,341.0,109.3,102.1,1.76,17.2,31.3,77.8,54.0,54.5,101.77,55.0,2,6,389.0,108.0,116.5,1.65,17.4,23.8,69.6,47.3,56.3,100.38,45.0,0
4,3,336.0,111.0,106.4,1.47,17.0,28.0,76.4,52.6,58.5,102.86,53.8,4,4,384.0,111.4,114.2,1.64,16.1,31.3,66.2,48.7,55.7,103.94,49.9,1
5,3,384.0,112.1,105.5,1.67,17.6,28.0,68.6,49.2,57.7,97.13,53.8,2,6,384.0,105.2,109.8,1.39,14.3,30.6,74.7,51.0,52.7,100.56,45.0,0
4,3,336.0,114.3,113.3,1.88,18.2,29.6,73.4,51.3,57.9,106.71,50.3,8,1,432.0,120.3,107.5,2.0,20.9,26.6,71.8,51.1,63.1,104.0,58.5,1
2,6,389.0,106.6,111.6,1.45,16.7,28.7,78.2,51.3,54.9,103.16,46.6,3,5,389.0,112.4,112.5,1.79,17.8,27.7,70.3,48.9,57.4,106.24,50.2,1
5,2,346.0,111.9,110.6,2.02,17.3,27.9,74.2,50.8,55.8,99.33,52.0,1,6,336.0,101.4,115.5,1.38,18.3,21.7,75.9,48.1,55.7,102.14,40.6,0
12,3,720.0,110.3,100.3,1.68,16.5,31.4,73.6,52.2,54.6,101.5,55.1,7,7,682.0,110.6,107.7,1.84,17.2,26.4,73.2,49.9,56.3,101.6,51.0,0
9,6,720.0,112.3,104.7,1.92,19.5,32.6,73.8,53.2,56.0,97.1,54.3,3,11,672.0,103.9,112.8,1.3,14.6,29.1,72.6,50.1,52.8,95.82,43.8,0
11,3,687.0,114.3,109.1,1.7,16.1,27.9,71.5,50.4,57.5,101.45,52.4,12,4,783.0,110.8,107.4,1.6,18.4,26.8,72.9,51.3,58.6,102.34,54.9,1
5,8,624.0,107.6,112.1,1.76,17.6,25.6,70.7,47.9,55.2,105.19,47.7,3,13,768.0,101.1,111.7,1.33,17.0,25.4,70.2,47.2,53.6,106.0,44.2,0
