Team1,Team1Score,Team2,Team2Score
San Antonio Spurs,109,Philadelphia 76ers,103
Miami Heat,86,Washington Wizards,107
Denver Nuggets,103,Utah Jazz,101
Minnesota Timberwolves,101,Los Angeles Clippers,127
Milwaukee Bucks,108,Cleveland Cavaliers,111
Boston Celtics,105,Atlanta Hawks,109
Los Angeles Lakers,106,Detroit Pistons,96
Brooklyn Nets,98,New York Knicks,93
Dallas Mavericks,132,Chicago Bulls,129
Oklahoma City Thunder,104,New Orleans Pelicans,112
Portland Trail Blazers,105,Denver Nuggets,103
Indiana Pacers,99,Phoenix Suns,116
Toronto Raptors,117,Sacramento Kings,109
Orlando Magic,97,Golden State Warriors,98
Chicago Bulls,102,Charlotte Hornets,95
Los Angeles Lakers,95,Washington Wizards,111
Detroit Pistons,102,Boston Celtics,109
San Antonio Spurs,93,Brooklyn Nets,95
Atlanta Hawks,112,Miami Heat,102
Memphis Grizzlies,96,Houston Rockets,105
Dallas Mavericks,107,Milwaukee Bucks,105
Philadelphia 76ers,85,Minnesota Timberwolves,77
Toronto Raptors,123,Utah Jazz,104
Orlando Magic,86,Los Angeles Clippers,114
Cleveland Cavaliers,90,New York Knicks,87
Indiana Pacers,82,Portland Trail Blazers,88
New Orleans Pelicans,85,Golden State Warriors,112
New York Knicks,102,Charlotte Hornets,103
Oklahoma City Thunder,103,Philadelphia 76ers,91
Denver Nuggets,89,Washington Wizards,119
Los Angeles Lakers,96,Boston Celtics,113
Atlanta Hawks,98,Brooklyn Nets,75
Cleveland Cavaliers,105,Toronto Raptors,91
San Antonio Spurs,107,Memphis Grizzlies,101
Houston Rockets,114,Minnesota Timberwolves,112
Phoenix Suns,118,Dallas Mavericks,106
Miami Heat,85,Milwaukee Bucks,109
Orlando Magic,98,Utah Jazz,93
Indiana Pacers,101,Sacramento Kings,102
Philadelphia 76ers,108,Detroit Pistons,101
Golden State Warriors,112,Chicago Bulls,102
Phoenix Suns,95,Houston Rockets,100
Minnesota Timberwolves,101,San Antonio Spurs,123
Orlando Magic,105,Sacramento Kings,96
New Orleans Pelicans,100,Los Angeles Clippers,120
Washington Wizards,93,Boston Celtics,101
Denver Nuggets,84,Atlanta Hawks,96
Oklahoma City Thunder,96,Detroit Pistons,94
Miami Heat,87,Memphis Grizzlies,103
Milwaukee Bucks,102,Dallas Mavericks,125
Portland Trail Blazers,103,New York Knicks,99
New Orleans Pelicans,104,Los Angeles Lakers,87
Atlanta Hawks,108,Indiana Pacers,92
Boston Celtics,132,Washington Wizards,133
Cleveland Cavaliers,110,Brooklyn Nets,88
Denver Nuggets,107,Toronto Raptors,112
