Team1,Team1Score,Team2,Team2Score
Oklahoma City Thunder,105,Orlando Magic,102
Minnesota Timberwolves,95,Phoenix Suns,104
Los Angeles Clippers,108,Sacramento Kings,100
Miami Heat,107,Portland Trail Blazers,93
Memphis Grizzlies,102,Toronto Raptors,99
Milwaukee Bucks,94,Atlanta Hawks,99
New Jersey Nets,94,Boston Celtics,107
Chicago Bulls,112,Cleveland Cavaliers,91
Denver Nuggets,117,Houston Rockets,105
Dallas Mavericks,92,New Orleans Hornets,97
Golden State Warriors,83,Philadelphia 76ers,105
Charlotte Bobcats,72,San Antonio Spurs,102
Miami Heat,98,Utah Jazz,99
Sacramento Kings,107,Los Angeles Lakers,115
Los Angeles Clippers,78,Phoenix Suns,81
Oklahoma City Thunder,90,Atlanta Hawks,97
Milwaukee Bucks,98,Orlando Magic,114
Cleveland Cavaliers,98,Washington Wizards,101
Detroit Pistons,83,Memphis Grizzlies,100
Indiana Pacers,102,New Orleans Hornets,84
Utah Jazz,96,Dallas Mavericks,102
Minnesota Timberwolves,122,Portland Trail Blazers,110
New York Knicks,111,Boston Celtics,115
Miami Heat,83,Los Angeles Lakers,93
New Jersey Nets,104,Charlotte Bobcats,101
Golden State Warriors,75,Toronto Raptors,83
Los Angeles Clippers,105,Houston Rockets,103
Chicago Bulls,96,Philadelphia 76ers,91
Sacramento Kings,88,Phoenix Suns,96
Denver Nuggets,99,San Antonio Spurs,94
Utah Jazz,109,Cleveland Cavaliers,100
Orlando Magic,92,Toronto Raptors,88
Golden State Warriors,120,Washington Wizards,100
Indiana Pacers,72,Chicago Bulls,92
Philadelphia 76ers,93,Milwaukee Bucks,97
Los Angeles Clippers,94,Minnesota Timberwolves,95
Dallas Mavericks,91,Oklahoma City Thunder,95
Sacramento Kings,116,Denver Nuggets,119
New Orleans Hornets,74,Portland Trail Blazers,86
Orlando Magic,84,Charlotte Bobcats,100
Atlanta Hawks,101,Indiana Pacers,96
Houston Rockets,92,Boston Celtics,97
Los Angeles Lakers,85,Detroit Pistons,88
New Jersey Nets,78,Miami Heat,108
New York Knicks,85,Dallas Mavericks,95
Utah Jazz,99,Charlotte Bobcats,93
Boston Celtics,71,Philadelphia 76ers,103
Houston Rockets,98,Toronto Raptors,116
Los Angeles Lakers,101,Washington Wizards,106
Atlanta Hawks,86,Miami Heat,89
Chicago Bulls,106,Milwaukee Bucks,104
Portland Trail Blazers,94,Minnesota Timberwolves,106
Los Angeles Clippers,100,New Jersey Nets,101
Phoenix Suns,104,Oklahoma City Thunder,115
New York Knicks,105,San Antonio Spurs,118
Cleveland Cavaliers,100,Denver Nuggets,99
New Orleans Hornets,98,Sacramento Kings,99
Memphis Grizzlies,110,Golden State Warriors,92
Orlando Magic,99,Chicago Bulls,94
Dallas Mavericks,94,Phoenix Suns,96
New Jersey Nets,83,Charlotte Bobcats,74
Utah Jazz,91,Philadelphia 76ers,104
Portland Trail Blazers,86,Boston Celtics,104
Atlanta Hawks,85,Detroit Pistons,86
Los Angeles Lakers,105,Minnesota Timberwolves,102
Cleveland Cavaliers,96,Oklahoma City Thunder,90
New York Knicks,114,Milwaukee Bucks,119
Los Angeles Clippers,120,San Antonio Spurs,108
New Orleans Hornets,97,Denver Nuggets,110
Dallas Mavericks,97,Sacramento Kings,110
Portland Trail Blazers,110,Washington Wizards,99
Toronto Raptors,86,Detroit Pistons,105
Indiana Pacers,91,Miami Heat,93
Utah Jazz,97,Chicago Bulls,111
New Orleans Hornets,95,Minnesota Timberwolves,89
Houston Rockets,112,New Jersey Nets,106
Charlotte Bobcats,95,Oklahoma City Thunder,122
Memphis Grizzlies,91,Phoenix Suns,98
Dallas Mavericks,87,Golden State Warriors,111
Philadelphia 76ers,106,New York Knicks,94
Boston Celtics,94,Los Angeles Lakers,97
Houston Rockets,107,Cleveland Cavaliers,118
Indiana Pacers,94,Orlando Magic,107
Milwaukee Bucks,105,Toronto Raptors,99
Memphis Grizzlies,94,Denver Nuggets,91
Atlanta Hawks,106,Sacramento Kings,99
Golden State Warriors,97,Los Angeles Clippers,93
Milwaukee Bucks,105,New Jersey Nets,99
New York Knicks,99,Chicago Bulls,104
Charlotte Bobcats,73,New Orleans Hornets,71
Washington Wizards,97,San Antonio Spurs,112
Detroit Pistons,90,Utah Jazz,105
Minnesota Timberwolves,127,Phoenix Suns,124
Boston Celtics,94,Los Angeles Clippers,85
Toronto Raptors,96,Cleveland Cavaliers,88
Portland Trail Blazers,75,Indiana Pacers,92
Miami Heat,98,Orlando Magic,104
Los Angeles Lakers,116,Memphis Grizzlies,111
Houston Rockets,104,Oklahoma City Thunder,103
Washington Wizards,98,Dallas Mavericks,107
Atlanta Hawks,117,Denver Nuggets,118
Golden State Warriors,115,Sacramento Kings,89
Philadelphia 76ers,94,Indiana Pacers,111
Toronto Raptors,84,New Jersey Nets,98
Portland Trail Blazers,79,New York Knicks,121
Charlotte Bobcats,87,Houston Rockets,107
Cleveland Cavaliers,105,Milwaukee Bucks,115
Los Angeles Lakers,107,New Orleans Hornets,101
Orlando Magic,111,San Antonio Spurs,122
Miami Heat,102,Chicago Bulls,106
Detroit Pistons,124,Sacramento Kings,112
Boston Celtics,105,Golden State Warriors,103
Atlanta Hawks,82,Los Angeles Clippers,96
Utah Jazz,111,Phoenix Suns,120
Washington Wizards,99,New Orleans Hornets,89
Charlotte Bobcats,96,Dallas Mavericks,101
Oklahoma City Thunder,103,Denver Nuggets,90
Minnesota Timberwolves,105,Utah Jazz,111
Phoenix Suns,91,Los Angeles Clippers,87
New Jersey Nets,70,Orlando Magic,86
Miami Heat,84,Philadelphia 76ers,78
Washington Wizards,88,Atlanta Hawks,102
Indiana Pacers,100,New York Knicks,115
Portland Trail Blazers,100,Chicago Bulls,89
Toronto Raptors,114,Memphis Grizzlies,110
San Antonio Spurs,114,Oklahoma City Thunder,105
Detroit Pistons,101,Phoenix Suns,109
Boston Celtics,95,Sacramento Kings,120
Milwaukee Bucks,120,Golden State Warriors,98
Minnesota Timberwolves,92,Los Angeles Lakers,97
Houston Rockets,91,Los Angeles Clippers,95
Toronto Raptors,103,Charlotte Bobcats,107
New York Knicks,102,Indiana Pacers,88
Philadelphia 76ers,80,Chicago Bulls,89
New Orleans Hornets,102,New Jersey Nets,94
San Antonio Spurs,99,Dallas Mavericks,106
Boston Celtics,91,Denver Nuggets,98
Golden State Warriors,92,Utah Jazz,99
Atlanta Hawks,103,Cleveland Cavaliers,87
Detroit Pistons,83,Los Angeles Clippers,87
Washington Wizards,92,Memphis Grizzlies,97
Minnesota Timberwolves,99,Sacramento Kings,115
Orlando Magic,81,Miami Heat,91
Houston Rockets,86,Phoenix Suns,99
Utah Jazz,103,Los Angeles Lakers,99
Portland Trail Blazers,95,Oklahoma City Thunder,111
Philadelphia 76ers,105,Charlotte Bobcats,80
Boston Celtics,79,Atlanta Hawks,76
Cleveland Cavaliers,105,New Jersey Nets,100
Chicago Bulls,85,Orlando Magic,59
Dallas Mavericks,112,Denver Nuggets,95
Minnesota Timberwolves,97,Golden State Warriors,93
Los Angeles Clippers,89,Indiana Pacers,102
Phoenix Suns,95,Miami Heat,99
Toronto Raptors,87,New York Knicks,106
Los Angeles Lakers,104,Houston Rockets,107
Oklahoma City Thunder,90,Utah Jazz,97
Milwaukee Bucks,116,Portland Trail Blazers,87
Memphis Grizzlies,110,Sacramento Kings,119
Phoenix Suns,93,Orlando Magic,103
New York Knicks,82,Philadelphia 76ers,79
Chicago Bulls,94,Toronto Raptors,82
Cleveland Cavaliers,102,Atlanta Hawks,103
Washington Wizards,108,New Jersey Nets,89
Golden State Warriors,101,New Orleans Hornets,92
Los Angeles Clippers,91,Oklahoma City Thunder,114
Minnesota Timberwolves,100,San Antonio Spurs,116
Detroit Pistons,115,Denver Nuggets,116
Los Angeles Lakers,109,Dallas Mavericks,93
Indiana Pacers,85,Washington Wizards,83
Golden State Warriors,83,Houston Rockets,109
Boston Celtics,100,Milwaukee Bucks,91
Los Angeles Clippers,90,New Orleans Hornets,97
Memphis Grizzlies,93,Portland Trail Blazers,97
Utah Jazz,103,Sacramento Kings,102
Milwaukee Bucks,112,Charlotte Bobcats,92
Phoenix Suns,113,Indiana Pacers,111
Cleveland Cavaliers,80,Orlando Magic,93
New York Knicks,79,Toronto Raptors,96
New Jersey Nets,84,Atlanta Hawks,93
Miami Heat,88,Detroit Pistons,73
Minnesota Timberwolves,140,Oklahoma City Thunder,149
Boston Celtics,86,Philadelphia 76ers,99
Dallas Mavericks,87,San Antonio Spurs,104
Portland Trail Blazers,96,Los Angeles Lakers,103
Denver Nuggets,102,Utah Jazz,121
Memphis Grizzlies,85,Los Angeles Clippers,101
Atlanta Hawks,95,Washington Wizards,92
Charlotte Bobcats,89,New Jersey Nets,102
Detroit Pistons,79,New York Knicks,101
Toronto Raptors,101,Chicago Bulls,102
Dallas Mavericks,101,Houston Rockets,99
San Antonio Spurs,89,New Orleans Hornets,86
Indiana Pacers,125,Milwaukee Bucks,104
Sacramento Kings,108,Golden State Warriors,111
Phoenix Suns,108,Cleveland Cavaliers,83
Denver Nuggets,100,Minnesota Timberwolves,117
Utah Jazz,133,Atlanta Hawks,139
Washington Wizards,76,Boston Celtics,88
Philadelphia 76ers,76,San Antonio Spurs,93
Miami Heat,87,Oklahoma City Thunder,103
Golden State Warriors,87,Portland Trail Blazers,90
Memphis Grizzlies,102,Los Angeles Lakers,96
Boston Celtics,102,Charlotte Bobcats,95
Miami Heat,90,Indiana Pacers,105
Orlando Magic,117,Toronto Raptors,101
Detroit Pistons,79,Washington Wizards,77
Utah Jazz,105,New Jersey Nets,84
Milwaukee Bucks,80,New York Knicks,89
Denver Nuggets,108,Chicago Bulls,91
Sacramento Kings,106,Houston Rockets,113
New Orleans Hornets,85,Los Angeles Clippers,97
Cleveland Cavaliers,85,Philadelphia 76ers,103
Minnesota Timberwolves,86,Memphis Grizzlies,93
Atlanta Hawks,101,Milwaukee Bucks,108
Houston Rockets,81,Dallas Mavericks,90
San Antonio Spurs,107,Phoenix Suns,100
Oklahoma City Thunder,109,Portland Trail Blazers,95
Los Angeles Lakers,104,Golden State Warriors,101
Minnesota Timberwolves,88,Charlotte Bobcats,83
Detroit Pistons,87,Cleveland Cavaliers,75
Orlando Magic,86,New York Knicks,108
Denver Nuggets,96,Toronto Raptors,105
Chicago Bulls,98,Atlanta Hawks,77
Utah Jazz,82,Boston Celtics,94
Indiana Pacers,84,New Jersey Nets,100
San Antonio Spurs,117,Sacramento Kings,112
New Orleans Hornets,102,Golden State Warriors,87
Phoenix Suns,86,Los Angeles Clippers,103
Washington Wizards,89,Indiana Pacers,93
Dallas Mavericks,85,Miami Heat,106
New Orleans Hornets,93,Portland Trail Blazers,99
Oklahoma City Thunder,102,Los Angeles Lakers,93
Denver Nuggets,99,Charlotte Bobcats,88
Miami Heat,113,Toronto Raptors,101
Philadelphia 76ers,76,Washington Wizards,97
New York Knicks,90,Atlanta Hawks,100
Milwaukee Bucks,121,Cleveland Cavaliers,84
Detroit Pistons,71,Chicago Bulls,83
Memphis Grizzlies,89,Houston Rockets,98
Boston Celtics,100,Minnesota Timberwolves,79
Dallas Mavericks,100,Orlando Magic,98
Sacramento Kings,104,Utah Jazz,103
New Jersey Nets,102,Golden State Warriors,100
Portland Trail Blazers,97,Los Angeles Clippers,98
New Orleans Hornets,85,Los Angeles Lakers,88
Charlotte Bobcats,107,Detroit Pistons,110
Cleveland Cavaliers,75,New York Knicks,91
Atlanta Hawks,90,Philadelphia 76ers,95
Memphis Grizzlies,99,Milwaukee Bucks,95
Indiana Pacers,103,San Antonio Spurs,112
New Jersey Nets,111,Sacramento Kings,99
Utah Jazz,96,Los Angeles Clippers,105
