Team1,Team1Score,Team2,Team2Score
Chicago Bulls,78,Oklahoma City Thunder,92
Miami Heat,72,Boston Celtics,91
Denver Nuggets,104,Orlando Magic,101
Washington Wizards,92,Toronto Raptors,99
Indiana Pacers,104,Houston Rockets,102
New Orleans Hornets,75,Phoenix Suns,92
Minnesota Timberwolves,106,Portland Trail Blazers,119
Golden State Warriors,112,Los Angeles Lakers,120
Milwaukee Bucks,112,Washington Wizards,98
Houston Rockets,99,Chicago Bulls,93
Memphis Grizzlies,94,Oklahoma City Thunder,88
Los Angeles Clippers,94,Dallas Mavericks,75
Utah Jazz,102,Portland Trail Blazers,97
Minnesota Timberwolves,108,Sacramento Kings,116
San Antonio Spurs,125,Cleveland Cavaliers,90
New York Knicks,104,Indiana Pacers,112
Charlotte Bobcats,87,Toronto Raptors,92
Orlando Magic,95,Detroit Pistons,102
Philadelphia 76ers,93,Miami Heat,99
Golden State Warriors,94,Memphis Grizzlies,98
Phoenix Suns,109,Sacramento Kings,100
New Jersey Nets,87,Los Angeles Lakers,91
Toronto Raptors,99,Philadelphia 76ers,78
Indiana Pacers,109,Washington Wizards,96
Charlotte Bobcats,93,Atlanta Hawks,120
San Antonio Spurs,87,Boston Celtics,86
Oklahoma City Thunder,93,Miami Heat,98
Cleveland Cavaliers,98,Milwaukee Bucks,107
Golden State Warriors,97,Minnesota Timberwolves,94
Denver Nuggets,92,New Orleans Hornets,94
Memphis Grizzlies,85,Dallas Mavericks,95
Phoenix Suns,107,Utah Jazz,105
New Jersey Nets,88,Portland Trail Blazers,101
Los Angeles Lakers,113,Los Angeles Clippers,108
New York Knicks,96,Orlando Magic,80
Washington Wizards,94,Detroit Pistons,99
Boston Celtics,86,Chicago Bulls,93
Los Angeles Clippers,93,Sacramento Kings,85
Oklahoma City Thunder,98,Indiana Pacers,103
Detroit Pistons,96,Atlanta Hawks,101
Memphis Grizzlies,97,Miami Heat,82
Washington Wizards,98,New Jersey Nets,110
Cleveland Cavaliers,84,Toronto Raptors,80
Portland Trail Blazers,99,Dallas Mavericks,97
Charlotte Bobcats,90,Milwaukee Bucks,95
New Orleans Hornets,103,San Antonio Spurs,128
Phoenix Suns,99,Denver Nuggets,105
Golden State Warriors,98,Utah Jazz,104
Houston Rockets,112,Los Angeles Lakers,107
Boston Celtics,86,Indiana Pacers,72
Atlanta Hawks,116,Charlotte Bobcats,96
Dallas Mavericks,89,Memphis Grizzlies,94
Minnesota Timberwolves,90,New Orleans Hornets,99
Orlando Magic,88,Philadelphia 76ers,82
Portland Trail Blazers,94,Milwaukee Bucks,116
Los Angeles Lakers,105,Phoenix Suns,125
Denver Nuggets,97,Golden State Warriors,112
Sacramento Kings,94,Los Angeles Clippers,109
Chicago Bulls,99,New York Knicks,100
Philadelphia 76ers,79,Boston Celtics,103
Detroit Pistons,75,Miami Heat,98
Cleveland Cavaliers,117,New Jersey Nets,122
Toronto Raptors,75,Oklahoma City Thunder,91
Utah Jazz,104,San Antonio Spurs,114
Houston Rockets,104,Sacramento Kings,87
Washington Wizards,113,Charlotte Bobcats,85
Toronto Raptors,98,Indiana Pacers,103
Detroit Pistons,89,Orlando Magic,119
Los Angeles Clippers,85,Memphis Grizzlies,94
Oklahoma City Thunder,109,Milwaukee Bucks,89
Los Angeles Lakers,93,New Orleans Hornets,91
Golden State Warriors,84,Denver Nuggets,123
Phoenix Suns,114,Minnesota Timberwolves,90
San Antonio Spurs,84,Utah Jazz,91
Houston Rockets,94,Portland Trail Blazers,89
Charlotte Bobcats,90,Cleveland Cavaliers,103
Boston Celtics,115,Miami Heat,107
Orlando Magic,85,Washington Wizards,93
Philadelphia 76ers,107,New Jersey Nets,88
Sacramento Kings,100,Dallas Mavericks,110
New York Knicks,86,Chicago Bulls,98
Indiana Pacers,104,Cleveland Cavaliers,98
Philadelphia 76ers,93,Toronto Raptors,75
Atlanta Hawks,86,Boston Celtics,88
Utah Jazz,103,Houston Rockets,91
Phoenix Suns,93,Memphis Grizzlies,104
New York Knicks,111,Milwaukee Bucks,107
Sacramento Kings,96,New Orleans Hornets,105
Los Angeles Clippers,100,Oklahoma City Thunder,98
Los Angeles Lakers,98,San Antonio Spurs,84
Minnesota Timberwolves,107,Denver Nuggets,113
Golden State Warriors,110,Portland Trail Blazers,118
Detroit Pistons,109,Charlotte Bobcats,85
Miami Heat,86,Chicago Bulls,96
Los Angeles Clippers,95,Minnesota Timberwolves,82
Memphis Grizzlies,97,San Antonio Spurs,107
Dallas Mavericks,112,Golden State Warriors,103
Cleveland Cavaliers,83,Indiana Pacers,102
Atlanta Hawks,109,Orlando Magic,81
New Jersey Nets,95,Philadelphia 76ers,89
Boston Celtics,79,Toronto Raptors,84
Charlotte Bobcats,82,Miami Heat,105
Washington Wizards,65,New York Knicks,103
Milwaukee Bucks,113,Detroit Pistons,97
Phoenix Suns,112,Houston Rockets,105
Utah Jazz,85,New Orleans Hornets,96
Sacramento Kings,89,Oklahoma City Thunder,115
Denver Nuggets,97,Los Angeles Lakers,103
Dallas Mavericks,97,Portland Trail Blazers,94
Golden State Warriors,104,Los Angeles Clippers,112
Cleveland Cavaliers,98,Washington Wizards,89
Boston Celtics,94,New Jersey Nets,82
Utah Jazz,98,Memphis Grizzlies,103
Oklahoma City Thunder,115,Minnesota Timberwolves,110
Indiana Pacers,105,Milwaukee Bucks,99
Phoenix Suns,91,San Antonio Spurs,105
Miami Heat,93,New York Knicks,85
Dallas Mavericks,108,Los Angeles Lakers,112
Toronto Raptors,102,Atlanta Hawks,86
Boston Celtics,94,Charlotte Bobcats,82
Orlando Magic,100,Cleveland Cavaliers,84
Chicago Bulls,100,Detroit Pistons,94
Portland Trail Blazers,103,Sacramento Kings,104
Memphis Grizzlies,75,New Orleans Hornets,88
Houston Rockets,86,Denver Nuggets,101
New Orleans Hornets,75,Charlotte Bobcats,67
Minnesota Timberwolves,88,Indiana Pacers,111
Philadelphia 76ers,100,Orlando Magic,113
Atlanta Hawks,109,Toronto Raptors,87
Miami Heat,101,New Jersey Nets,98
Washington Wizards,87,Chicago Bulls,84
Denver Nuggets,105,Houston Rockets,102
Dallas Mavericks,121,Utah Jazz,123
Portland Trail Blazers,107,Phoenix Suns,125
San Antonio Spurs,120,Golden State Warriors,99
Oklahoma City Thunder,77,Los Angeles Clippers,92
Indiana Pacers,102,Philadelphia 76ers,97
Cleveland Cavaliers,77,Detroit Pistons,116
Memphis Grizzlies,91,Minnesota Timberwolves,84
Boston Celtics,110,New York Knicks,118
San Antonio Spurs,112,Los Angeles Lakers,91
Chicago Bulls,100,Charlotte Bobcats,68
Philadelphia 76ers,103,Cleveland Cavaliers,87
Milwaukee Bucks,112,Washington Wizards,121
Detroit Pistons,84,Atlanta Hawks,116
Toronto Raptors,72,Miami Heat,96
New York Knicks,104,New Jersey Nets,95
Orlando Magic,98,Boston Celtics,102
New Orleans Hornets,91,Memphis Grizzlies,103
Houston Rockets,110,Dallas Mavericks,117
Los Angeles Clippers,104,Denver Nuggets,98
Oklahoma City Thunder,109,Phoenix Suns,97
Utah Jazz,112,Portland Trail Blazers,91
San Antonio Spurs,127,Sacramento Kings,102
Los Angeles Lakers,99,Golden State Warriors,87
Milwaukee Bucks,109,Indiana Pacers,118
Minnesota Timberwolves,91,Detroit Pistons,80
Chicago Bulls,72,Miami Heat,83
Houston Rockets,99,New Orleans Hornets,105
Los Angeles Clippers,90,Phoenix Suns,93
Boston Celtics,92,Atlanta Hawks,97
Memphis Grizzlies,85,Charlotte Bobcats,80
New York Knicks,90,Cleveland Cavaliers,98
Golden State Warriors,94,Dallas Mavericks,104
Los Angeles Lakers,97,San Antonio Spurs,121
Oklahoma City Thunder,103,Sacramento Kings,92
Denver Nuggets,118,Phoenix Suns,107
Philadelphia 76ers,109,Indiana Pacers,106
Washington Wizards,86,Miami Heat,84
Dallas Mavericks,83,Chicago Bulls,93
Golden State Warriors,96,Houston Rockets,99
Portland Trail Blazers,89,Memphis Grizzlies,93
New Jersey Nets,95,Milwaukee Bucks,106
Orlando Magic,107,Utah Jazz,117
New York Knicks,113,Atlanta Hawks,112
Oklahoma City Thunder,106,Los Angeles Lakers,114
Sacramento Kings,114,Charlotte Bobcats,88
Toronto Raptors,73,Detroit Pistons,76
Houston Rockets,88,Miami Heat,97
Golden State Warriors,93,Minnesota Timberwolves,88
Cleveland Cavaliers,98,San Antonio Spurs,114
Orlando Magic,74,Denver Nuggets,101
New Orleans Hornets,98,Los Angeles Clippers,107
Detroit Pistons,97,Indiana Pacers,103
Charlotte Bobcats,73,Washington Wizards,101
Philadelphia 76ers,105,New Jersey Nets,87
Cleveland Cavaliers,101,Memphis Grizzlies,109
Toronto Raptors,86,Milwaukee Bucks,92
Portland Trail Blazers,89,San Antonio Spurs,124
Los Angeles Clippers,102,Atlanta Hawks,109
Miami Heat,66,Boston Celtics,78
Sacramento Kings,110,Oklahoma City Thunder,118
New Orleans Hornets,83,Golden State Warriors,81
Phoenix Suns,88,Utah Jazz,100
Washington Wizards,96,Cleveland Cavaliers,85
Chicago Bulls,92,Indiana Pacers,87
Charlotte Bobcats,95,Orlando Magic,102
Philadelphia 76ers,90,Milwaukee Bucks,85
Los Angeles Clippers,93,New York Knicks,99
Denver Nuggets,106,Oklahoma City Thunder,101
San Antonio Spurs,110,Phoenix Suns,106
New Jersey Nets,67,Toronto Raptors,98
Dallas Mavericks,89,Atlanta Hawks,106
Milwaukee Bucks,74,Boston Celtics,87
New York Knicks,104,Charlotte Bobcats,84
Cleveland Cavaliers,75,Chicago Bulls,107
Philadelphia 76ers,86,Detroit Pistons,108
New Orleans Hornets,77,Houston Rockets,84
Orlando Magic,76,Memphis Grizzlies,88
Denver Nuggets,131,Minnesota Timberwolves,102
Portland Trail Blazers,94,Utah Jazz,96
Miami Heat,70,Washington Wizards,104
San Antonio Spurs,107,Golden State Warriors,101
Los Angeles Lakers,96,Sacramento Kings,113
Philadelphia 76ers,91,Chicago Bulls,103
New York Knicks,67,Miami Heat,100
Orlando Magic,81,Indiana Pacers,77
Dallas Mavericks,98,Oklahoma City Thunder,99
Utah Jazz,91,San Antonio Spurs,106
Denver Nuggets,88,Los Angeles Lakers,103
Boston Celtics,74,Atlanta Hawks,83
Los Angeles Clippers,99,Memphis Grizzlies,98
New York Knicks,94,Miami Heat,104
Orlando Magic,78,Indiana Pacers,93
Dallas Mavericks,99,Oklahoma City Thunder,102
