Team1,Team1Score,Team2,Team2Score
Washington Wizards,103,Orlando Magic,109
Chicago Bulls,82,Philadelphia 76ers,98
Toronto Raptors,64,Boston Celtics,100
Detroit Pistons,96,New Jersey Nets,99
Oklahoma City Thunder,95,Dallas Mavericks,86
Miami Heat,97,Milwaukee Bucks,105
Indiana Pacers,109,Minnesota Timberwolves,99
Phoenix Suns,120,New Orleans Hornets,103
Houston Rockets,91,San Antonio Spurs,99
Charlotte Bobcats,68,Portland Trail Blazers,112
Los Angeles Clippers,107,Utah Jazz,105
Memphis Grizzlies,96,Atlanta Hawks,77
Chicago Bulls,105,New York Knicks,102
New Orleans Hornets,81,San Antonio Spurs,93
Portland Trail Blazers,92,Sacramento Kings,95
Utah Jazz,101,Golden State Warriors,119
Denver Nuggets,112,Los Angeles Clippers,91
Cleveland Cavaliers,94,Orlando Magic,102
Miami Heat,99,Philadelphia 76ers,79
Washington Wizards,89,Toronto Raptors,106
Milwaukee Bucks,80,Detroit Pistons,88
Minnesota Timberwolves,108,New Jersey Nets,105
New York Knicks,89,Boston Celtics,91
Phoenix Suns,81,Houston Rockets,99
Memphis Grizzlies,94,Oklahoma City Thunder,101
Indiana Pacers,98,Dallas Mavericks,87
Los Angeles Lakers,93,Denver Nuggets,89
Philadelphia 76ers,98,Atlanta Hawks,87
Orlando Magic,85,Indiana Pacers,81
Los Angeles Clippers,107,Washington Wizards,81
Dallas Mavericks,88,Cleveland Cavaliers,91
New Orleans Hornets,87,Detroit Pistons,89
New Jersey Nets,92,New York Knicks,99
Houston Rockets,91,Minnesota Timberwolves,100
Chicago Bulls,113,Milwaukee Bucks,90
Oklahoma City Thunder,96,San Antonio Spurs,107
Charlotte Bobcats,89,Phoenix Suns,95
Los Angeles Lakers,87,Utah Jazz,96
Denver Nuggets,97,Portland Trail Blazers,117
Golden State Warriors,106,Sacramento Kings,114
Memphis Grizzlies,80,Boston Celtics,98
Toronto Raptors,89,Miami Heat,95
Los Angeles Clippers,107,Orlando Magic,102
Los Angeles Lakers,90,Philadelphia 76ers,95
Toronto Raptors,108,Washington Wizards,111
Phoenix Suns,99,Atlanta Hawks,90
Chicago Bulls,108,New Jersey Nets,87
Utah Jazz,88,New York Knicks,99
San Antonio Spurs,89,Memphis Grizzlies,84
Sacramento Kings,100,New Orleans Hornets,92
Houston Rockets,99,Denver Nuggets,90
Oklahoma City Thunder,111,Portland Trail Blazers,107
Utah Jazz,99,Indiana Pacers,104
Charlotte Bobcats,84,Boston Celtics,94
Cleveland Cavaliers,91,Miami Heat,107
Phoenix Suns,107,Milwaukee Bucks,105
Sacramento Kings,84,Minnesota Timberwolves,86
Oklahoma City Thunder,119,Golden State Warriors,116
Los Angeles Clippers,92,Cleveland Cavaliers,99
Miami Heat,89,Orlando Magic,102
San Antonio Spurs,100,Philadelphia 76ers,90
Milwaukee Bucks,105,Toronto Raptors,99
New York Knicks,107,Washington Wizards,93
Indiana Pacers,87,Atlanta Hawks,97
Detroit Pistons,99,New Jersey Nets,92
Minnesota Timberwolves,80,Memphis Grizzlies,85
Chicago Bulls,90,New Orleans Hornets,67
Dallas Mavericks,105,Denver Nuggets,95
Houston Rockets,103,Portland Trail Blazers,96
Los Angeles Lakers,88,Boston Celtics,87
Golden State Warriors,109,Denver Nuggets,101
Houston Rockets,96,Phoenix Suns,89
Oklahoma City Thunder,101,Sacramento Kings,106
Chicago Bulls,95,Charlotte Bobcats,64
Atlanta Hawks,89,Orlando Magic,87
Los Angeles Clippers,78,Philadelphia 76ers,77
Boston Celtics,74,Toronto Raptors,86
Miami Heat,106,Washington Wizards,89
Milwaukee Bucks,113,Cleveland Cavaliers,112
New Jersey Nets,92,Detroit Pistons,109
Indiana Pacers,92,Memphis Grizzlies,98
Dallas Mavericks,104,Minnesota Timberwolves,97
Portland Trail Blazers,94,New Orleans Hornets,86
Los Angeles Lakers,85,New York Knicks,92
Oklahoma City Thunder,101,Utah Jazz,87
Los Angeles Clippers,111,Charlotte Bobcats,86
Denver Nuggets,113,Indiana Pacers,109
Philadelphia 76ers,99,Cleveland Cavaliers,84
New York Knicks,100,Minnesota Timberwolves,98
San Antonio Spurs,103,New Jersey Nets,89
Portland Trail Blazers,94,Dallas Mavericks,97
Orlando Magic,99,Milwaukee Bucks,94
Phoenix Suns,98,Sacramento Kings,84
Los Angeles Lakers,94,Toronto Raptors,92
Chicago Bulls,91,Boston Celtics,95
Washington Wizards,98,Detroit Pistons,77
Miami Heat,107,Atlanta Hawks,87
Houston Rockets,97,Golden State Warriors,106
Utah Jazz,98,Memphis Grizzlies,88
Philadelphia 76ers,98,Charlotte Bobcats,89
Minnesota Timberwolves,89,Orlando Magic,102
Miami Heat,114,Milwaukee Bucks,96
Utah Jazz,80,New Orleans Hornets,86
Los Angeles Clippers,92,Dallas Mavericks,96
Phoenix Suns,96,Golden State Warriors,102
Miami Heat,105,Indiana Pacers,90
New York Knicks,90,Toronto Raptors,87
San Antonio Spurs,99,Detroit Pistons,95
Sacramento Kings,115,Chicago Bulls,121
Houston Rockets,83,Memphis Grizzlies,93
Utah Jazz,85,Oklahoma City Thunder,111
Phoenix Suns,92,Denver Nuggets,109
Washington Wizards,124,Portland Trail Blazers,109
Atlanta Hawks,78,Los Angeles Lakers,86
Philadelphia 76ers,87,Orlando Magic,103
San Antonio Spurs,113,Toronto Raptors,106
Detroit Pistons,98,Boston Celtics,88
Indiana Pacers,87,Cleveland Cavaliers,98
Memphis Grizzlies,105,New Jersey Nets,100
Sacramento Kings,85,New York Knicks,100
Oklahoma City Thunder,95,Houston Rockets,96
New Orleans Hornets,92,Milwaukee Bucks,89
Charlotte Bobcats,90,Minnesota Timberwolves,102
Denver Nuggets,84,Dallas Mavericks,102
Atlanta Hawks,101,Phoenix Suns,99
Portland Trail Blazers,93,Golden State Warriors,91
Washington Wizards,84,Los Angeles Clippers,102
New Jersey Nets,88,Indiana Pacers,93
Boston Celtics,80,Chicago Bulls,89
Los Angeles Clippers,74,Portland Trail Blazers,71
Milwaukee Bucks,85,Orlando Magic,94
Charlotte Bobcats,98,Toronto Raptors,91
