Team1,Team1Score,Team2,Team2Score
Portland Trail Blazers,118,Cleveland Cavaliers,117
Brooklyn Nets,89,Miami Heat,102
Philadelphia 76ers,88,Chicago Bulls,93
Utah Jazz,116,Houston Rockets,124
Oklahoma City Thunder,100,New Orleans Hornets,79
Boston Celtics,88,Milwaukee Bucks,91
Memphis Grizzlies,95,San Antonio Spurs,99
Detroit Pistons,77,Dallas Mavericks,92
Indiana Pacers,92,Golden State Warriors,103
Sacramento Kings,81,Los Angeles Clippers,116
Phoenix Suns,99,New York Knicks,106
Orlando Magic,113,Los Angeles Lakers,103
Portland Trail Blazers,118,Charlotte Bobcats,112
Cleveland Cavaliers,79,Detroit Pistons,89
Milwaukee Bucks,81,New Orleans Hornets,102
Toronto Raptors,110,Denver Nuggets,113
Los Angeles Clippers,105,Utah Jazz,104
Orlando Magic,102,Golden State Warriors,94
Minnesota Timberwolves,105,Philadelphia 76ers,88
Miami Heat,101,Washington Wizards,105
Oklahoma City Thunder,117,Brooklyn Nets,111
Indiana Pacers,80,Chicago Bulls,76
Los Angeles Lakers,105,Houston Rockets,107
Phoenix Suns,98,Memphis Grizzlies,108
New York Knicks,100,Charlotte Bobcats,98
Portland Trail Blazers,92,Indiana Pacers,99
Minnesota Timberwolves,94,Boston Celtics,104
Golden State Warriors,104,Detroit Pistons,97
Denver Nuggets,104,Atlanta Hawks,108
Chicago Bulls,95,Cleveland Cavaliers,85
Los Angeles Lakers,103,New Orleans Hornets,87
Milwaukee Bucks,99,San Antonio Spurs,110
Orlando Magic,81,Utah Jazz,87
Toronto Raptors,100,Sacramento Kings,107
Dallas Mavericks,90,Los Angeles Clippers,112
New York Knicks,112,Miami Heat,92
Dallas Mavericks,97,Phoenix Suns,94
Denver Nuggets,92,Indiana Pacers,89
Boston Celtics,94,Philadelphia 76ers,95
Washington Wizards,95,Atlanta Hawks,104
Golden State Warriors,109,Brooklyn Nets,102
Chicago Bulls,108,Detroit Pistons,104
Cleveland Cavaliers,73,Minnesota Timberwolves,91
Memphis Grizzlies,96,New Orleans Hornets,89
Charlotte Bobcats,93,Milwaukee Bucks,108
Houston Rockets,92,San Antonio Spurs,114
Toronto Raptors,99,Utah Jazz,131
Los Angeles Lakers,108,Oklahoma City Thunder,114
Orlando Magic,82,Sacramento Kings,91
Phoenix Suns,99,Los Angeles Clippers,117
San Antonio Spurs,132,Charlotte Bobcats,102
Golden State Warriors,101,Washington Wizards,97
Philadelphia 76ers,79,Boston Celtics,92
Detroit Pistons,104,Cleveland Cavaliers,97
New Orleans Hornets,90,Miami Heat,106
New York Knicks,85,Chicago Bulls,93
Dallas Mavericks,116,Houston Rockets,109
Atlanta Hawks,93,Memphis Grizzlies,83
Sacramento Kings,99,Portland Trail Blazers,80
Toronto Raptors,83,Los Angeles Clippers,102
Milwaukee Bucks,97,Brooklyn Nets,88
Indiana Pacers,93,Oklahoma City Thunder,104
Denver Nuggets,106,New York Knicks,112
Orlando Magic,98,Phoenix Suns,90
Utah Jazz,117,Los Angeles Lakers,110
Golden State Warriors,104,Charlotte Bobcats,96
Detroit Pistons,97,Philadelphia 76ers,104
Atlanta Hawks,92,Miami Heat,101
San Antonio Spurs,134,Houston Rockets,126
Sacramento Kings,96,Dallas Mavericks,119
Toronto Raptors,74,Portland Trail Blazers,92
New York Knicks,100,Brooklyn Nets,97
Los Angeles Lakers,94,Cleveland Cavaliers,100
Denver Nuggets,101,Detroit Pistons,94
Washington Wizards,77,New Orleans Hornets,70
Los Angeles Clippers,94,Chicago Bulls,89
Cleveland Cavaliers,81,Indiana Pacers,96
Atlanta Hawks,86,Orlando Magic,80
Brooklyn Nets,94,Toronto Raptors,88
Los Angeles Clippers,100,Charlotte Bobcats,94
Golden State Warriors,97,Miami Heat,95
Chicago Bulls,96,Philadelphia 76ers,89
Dallas Mavericks,115,Boston Celtics,117
Washington Wizards,93,Houston Rockets,99
Sacramento Kings,85,Milwaukee Bucks,98
Denver Nuggets,105,Minnesota Timberwolves,108
New Orleans Hornets,88,Oklahoma City Thunder,92
Memphis Grizzlies,80,Phoenix Suns,82
San Antonio Spurs,96,Utah Jazz,99
Charlotte Bobcats,90,Atlanta Hawks,113
Los Angeles Lakers,107,New York Knicks,116
San Antonio Spurs,90,Portland Trail Blazers,98
Philadelphia 76ers,85,Indiana Pacers,95
Golden State Warriors,85,Orlando Magic,99
Dallas Mavericks,74,Toronto Raptors,95
Los Angeles Lakers,102,Washington Wizards,96
Detroit Pistons,105,Brooklyn Nets,107
Milwaukee Bucks,90,Cleveland Cavaliers,86
Boston Celtics,89,Houston Rockets,101
Minnesota Timberwolves,113,New Orleans Hornets,102
Sacramento Kings,103,Oklahoma City Thunder,113
Utah Jazz,84,Phoenix Suns,99
Memphis Grizzlies,94,Denver Nuggets,99
Golden State Warriors,115,Atlanta Hawks,93
Orlando Magic,107,Charlotte Bobcats,98
Indiana Pacers,88,Detroit Pistons,77
Washington Wizards,72,Miami Heat,102
Cleveland Cavaliers,102,New York Knicks,103
Brooklyn Nets,82,Chicago Bulls,83
Dallas Mavericks,106,Minnesota Timberwolves,114
Los Angeles Clippers,111,Milwaukee Bucks,85
Boston Celtics,88,San Antonio Spurs,103
Memphis Grizzlies,99,Utah Jazz,86
Houston Rockets,96,Toronto Raptors,103
Los Angeles Lakers,111,Philadelphia 76ers,98
Denver Nuggets,122,Sacramento Kings,97
New Orleans Hornets,94,Portland Trail Blazers,95
Minnesota Timberwolves,93,Orlando Magic,102
Los Angeles Clippers,88,Detroit Pistons,76
Houston Rockets,109,New York Knicks,96
Chicago Bulls,71,Memphis Grizzlies,80
San Antonio Spurs,93,Oklahoma City Thunder,107
Sacramento Kings,90,Phoenix Suns,101
Toronto Raptors,113,Cleveland Cavaliers,99
Atlanta Hawks,100,Washington Wizards,95
Utah Jazz,92,Brooklyn Nets,90
Minnesota Timberwolves,92,Miami Heat,103
Boston Celtics,89,Chicago Bulls,100
Indiana Pacers,93,Milwaukee Bucks,98
Philadelphia 76ers,100,Dallas Mavericks,107
San Antonio Spurs,106,Denver Nuggets,112
New Orleans Hornets,96,Golden State Warriors,103
Charlotte Bobcats,100,Los Angeles Lakers,101
Utah Jazz,84,Indiana Pacers,104
Brooklyn Nets,86,New York Knicks,100
Washington Wizards,83,Orlando Magic,90
Detroit Pistons,91,Toronto Raptors,97
Oklahoma City Thunder,100,Atlanta Hawks,92
Cleveland Cavaliers,91,Boston Celtics,103
Philadelphia 76ers,103,Houston Rockets,125
Charlotte Bobcats,104,Phoenix Suns,121
Milwaukee Bucks,80,Memphis Grizzlies,90
Golden State Warriors,127,Sacramento Kings,131
New Orleans Hornets,77,Los Angeles Clippers,93
Oklahoma City Thunder,93,Minnesota Timberwolves,99
Miami Heat,110,Dallas Mavericks,95
Denver Nuggets,93,Portland Trail Blazers,101
Atlanta Hawks,80,Philadelphia 76ers,99
Orlando Magic,90,Toronto Raptors,93
Milwaukee Bucks,99,Boston Celtics,94
Indiana Pacers,99,Cleveland Cavaliers,89
Washington Wizards,68,Detroit Pistons,100
Chicago Bulls,110,New York Knicks,106
Dallas Mavericks,82,Memphis Grizzlies,92
New Orleans Hornets,94,San Antonio Spurs,99
Charlotte Bobcats,100,Golden State Warriors,115
Sacramento Kings,85,Los Angeles Clippers,97
Chicago Bulls,75,Atlanta Hawks,92
Detroit Pistons,96,Washington Wizards,87
Utah Jazz,89,Miami Heat,105
Memphis Grizzlies,96,Houston Rockets,121
Indiana Pacers,81,New Orleans Hornets,75
Cleveland Cavaliers,94,Milwaukee Bucks,82
Charlotte Bobcats,88,Denver Nuggets,110
Phoenix Suns,93,Portland Trail Blazers,96
Los Angeles Lakers,118,Golden State Warriors,115
Philadelphia 76ers,92,Brooklyn Nets,95
Minnesota Timberwolves,91,New York Knicks,94
Utah Jazz,97,Orlando Magic,93
Dallas Mavericks,91,San Antonio Spurs,129
Los Angeles Clippers,103,Phoenix Suns,77
Portland Trail Blazers,96,Sacramento Kings,108
Boston Celtics,93,Brooklyn Nets,76
New York Knicks,94,Los Angeles Lakers,100
Oklahoma City Thunder,97,Miami Heat,103
Houston Rockets,120,Chicago Bulls,97
Denver Nuggets,100,Los Angeles Clippers,112
Miami Heat,105,Charlotte Bobcats,92
New Orleans Hornets,97,Orlando Magic,94
Cleveland Cavaliers,87,Washington Wizards,84
Detroit Pistons,119,Atlanta Hawks,126
Philadelphia 76ers,99,Memphis Grizzlies,89
Brooklyn Nets,93,Milwaukee Bucks,108
Houston Rockets,87,Minnesota Timberwolves,84
Toronto Raptors,80,San Antonio Spurs,100
Los Angeles Lakers,114,Denver Nuggets,126
New York Knicks,99,Phoenix Suns,97
Golden State Warriors,94,Utah Jazz,83
Sacramento Kings,91,Portland Trail Blazers,109
Dallas Mavericks,105,Oklahoma City Thunder,111
Boston Celtics,77,Los Angeles Clippers,106
Phoenix Suns,91,Indiana Pacers,97
Orlando Magic,97,Washington Wizards,105
Charlotte Bobcats,81,Brooklyn Nets,97
Atlanta Hawks,102,Cleveland Cavaliers,94
Miami Heat,99,Detroit Pistons,109
Toronto Raptors,104,New Orleans Hornets,97
Denver Nuggets,106,Dallas Mavericks,85
Houston Rockets,116,San Antonio Spurs,122
Los Angeles Clippers,116,Utah Jazz,114
New York Knicks,105,Sacramento Kings,106
Philadelphia 76ers,89,Golden State Warriors,96
Portland Trail Blazers,87,Los Angeles Lakers,104
Indiana Pacers,100,Atlanta Hawks,109
New Orleans Hornets,98,Charlotte Bobcats,95
Toronto Raptors,123,Orlando Magic,88
Cleveland Cavaliers,100,Brooklyn Nets,103
Washington Wizards,77,Chicago Bulls,87
Oklahoma City Thunder,124,Houston Rockets,94
