Team1,Team1Score,Team2,Team2Score
Minnesota Timberwolves,97,Cleveland Cavaliers,125
Indiana Pacers,98,Orlando Magic,88
Toronto Raptors,104,Boston Celtics,109
New York Knicks,95,Brooklyn Nets,90
New Orleans Pelicans,98,Detroit Pistons,118
Atlanta Hawks,93,Miami Heat,116
Philadelphia 76ers,95,Dallas Mavericks,113
Memphis Grizzlies,119,Denver Nuggets,99
Los Angeles Clippers,124,Phoenix Suns,114
Milwaukee Bucks,88,Utah Jazz,104
Chicago Bulls,128,Oklahoma City Thunder,100
Charlotte Hornets,111,Golden State Warriors,126
Los Angeles Lakers,108,Washington Wizards,116
Atlanta Hawks,113,Houston Rockets,108
Philadelphia 76ers,86,San Antonio Spurs,102
Golden State Warriors,133,Los Angeles Clippers,120
Toronto Raptors,94,Orlando Magic,102
Indiana Pacers,106,Brooklyn Nets,97
Minnesota Timberwolves,108,Detroit Pistons,116
Los Angeles Lakers,107,Boston Celtics,113
Chicago Bulls,117,Houston Rockets,121
Memphis Grizzlies,102,Oklahoma City Thunder,114
Milwaukee Bucks,117,Denver Nuggets,121
Dallas Mavericks,108,Portland Trail Blazers,104
Phoenix Suns,105,Sacramento Kings,103
Orlando Magic,86,Atlanta Hawks,113
Detroit Pistons,84,Indiana Pacers,105
New Orleans Pelicans,91,Washington Wizards,105
Philadelphia 76ers,102,Miami Heat,125
Cleveland Cavaliers,111,New York Knicks,104
Memphis Grizzlies,107,Minnesota Timberwolves,99
Milwaukee Bucks,137,Phoenix Suns,112
Denver Nuggets,97,San Antonio Spurs,121
Charlotte Hornets,98,Utah Jazz,105
Golden State Warriors,106,Sacramento Kings,109
Toronto Raptors,103,Brooklyn Nets,95
Los Angeles Clippers,102,Boston Celtics,107
Portland Trail Blazers,99,Oklahoma City Thunder,105
Oklahoma City Thunder,90,Indiana Pacers,93
Los Angeles Lakers,121,New York Knicks,107
Cleveland Cavaliers,140,Washington Wizards,135
Utah Jazz,120,Atlanta Hawks,95
Philadelphia 76ers,96,Detroit Pistons,113
Los Angeles Clippers,109,Toronto Raptors,118
Miami Heat,115,Minnesota Timberwolves,113
Phoenix Suns,106,New Orleans Pelicans,111
Dallas Mavericks,87,Denver Nuggets,110
San Antonio Spurs,74,Memphis Grizzlies,89
Chicago Bulls,112,Sacramento Kings,107
Brooklyn Nets,107,Charlotte Hornets,111
Orlando Magic,104,Houston Rockets,128
Portland Trail Blazers,114,Dallas Mavericks,113
Cleveland Cavaliers,132,Indiana Pacers,117
San Antonio Spurs,111,Philadelphia 76ers,103
Denver Nuggets,106,Atlanta Hawks,117
Washington Wizards,114,Brooklyn Nets,110
Los Angeles Lakers,102,Detroit Pistons,121
Phoenix Suns,91,Memphis Grizzlies,110
Miami Heat,106,Milwaukee Bucks,88
Toronto Raptors,109,Minnesota Timberwolves,112
Utah Jazz,127,New Orleans Pelicans,94
Los Angeles Clippers,119,New York Knicks,115
Chicago Bulls,92,Golden State Warriors,123
Boston Celtics,92,Sacramento Kings,108
Houston Rockets,107,Charlotte Hornets,95
Philadelphia 76ers,112,Orlando Magic,111
Cleveland Cavaliers,109,Oklahoma City Thunder,118
Utah Jazz,105,Dallas Mavericks,112
Boston Celtics,120,Portland Trail Blazers,111
Miami Heat,108,Brooklyn Nets,99
San Antonio Spurs,103,Detroit Pistons,92
Denver Nuggets,131,New York Knicks,123
Golden State Warriors,122,Memphis Grizzlies,107
Los Angeles Lakers,122,Milwaukee Bucks,114
New Orleans Pelicans,122,Minnesota Timberwolves,106
Indiana Pacers,107,Washington Wizards,112
Chicago Bulls,97,Phoenix Suns,115
Atlanta Hawks,107,Sacramento Kings,108
Los Angeles Clippers,107,Charlotte Hornets,102
Milwaukee Bucks,116,Indiana Pacers,100
Denver Nuggets,109,Cleveland Cavaliers,125
Miami Heat,109,Philadelphia 76ers,117
Golden State Warriors,130,Oklahoma City Thunder,114
Orlando Magic,80,Dallas Mavericks,112
Phoenix Suns,102,Houston Rockets,133
Boston Celtics,112,Utah Jazz,104
Chicago Bulls,89,Minnesota Timberwolves,117
San Antonio Spurs,90,New York Knicks,94
Detroit Pistons,102,Toronto Raptors,101
New Orleans Pelicans,99,Sacramento Kings,105
Philadelphia 76ers,105,Charlotte Hornets,99
San Antonio Spurs,110,Indiana Pacers,106
Memphis Grizzlies,112,Brooklyn Nets,103
Orlando Magic,116,Miami Heat,107
Detroit Pistons,89,Milwaukee Bucks,102
Oklahoma City Thunder,98,Washington Wizards,120
Boston Celtics,111,Dallas Mavericks,98
Golden State Warriors,110,Denver Nuggets,132
New Orleans Pelicans,110,Phoenix Suns,108
Los Angeles Clippers,88,Utah Jazz,72
Atlanta Hawks,109,Portland Trail Blazers,104
Toronto Raptors,94,Chicago Bulls,105
Cleveland Cavaliers,116,Minnesota Timberwolves,108
Sacramento Kings,97,Los Angeles Lakers,96
Indiana Pacers,104,Cleveland Cavaliers,113
San Antonio Spurs,107,Orlando Magic,79
Philadelphia 76ers,108,Boston Celtics,116
Milwaukee Bucks,129,Brooklyn Nets,125
